-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us        1.578s       149.49%        1.578s      41.514ms            38  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     432.791ms        41.01%     432.791ms     216.395ms             2  
kernel_cutlass_kernel_b12xmoe_sharedkernelssiluMoEDy...         0.00%       0.000us         0.00%       0.000us       0.000us     359.350ms        34.05%     359.350ms     417.849us           860  
kernel_cutlass_kernel_b12xcommroce_oneshot_cute_Roce...         0.00%       0.000us         0.00%       0.000us       0.000us      81.372ms         7.71%      81.372ms      45.206us          1800  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      71.802ms         6.80%      71.802ms       1.795ms            40  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      64.655ms         6.13%      64.655ms      78.848us           820  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      63.194ms         5.99%      63.194ms      65.014us           972  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      49.620ms         4.70%      49.620ms      60.513us           820  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      41.181ms         3.90%      41.181ms      44.762us           920  
                            b12x::tp_moe_dynamic_launch         4.41%      55.473ms         4.51%      56.648ms       1.416ms      39.770ms         3.77%      39.830ms     995.754us            40  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      37.300ms         3.53%      37.300ms      45.487us           820  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      35.679ms         3.38%      35.679ms      43.511us           820  
                                               aten::mm         0.08%       1.026ms         0.10%       1.255ms      39.210us      35.206ms         3.34%      35.206ms       1.100ms            32  
                                            _row_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.852ms         2.64%      27.852ms     456.587us            61  
kernel_cutlass_kernel_b12xgemmbf16_gemv_kernelSmallN...         0.00%       0.000us         0.00%       0.000us       0.000us      26.356ms         2.50%      26.356ms      26.894us           980  
kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a8_phas...         0.00%       0.000us         0.00%       0.000us       0.000us      26.291ms         2.49%      26.291ms     657.274us            40  
