# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
dspark_ctx_kv	4	512	5120	16	64	128	8	48	1	None	pass	18.432	18.176	20.480	1.0000000000	0.00000000	18.656,18.560,18.432,18.432,18.464,18.432,18.464,18.592,18.496,18.432,18.464,18.432,18.528,18.368,18.848,18.432,18.464,19.488,18.432,18.432,18.304,18.432,18.368,18.432,18.432,18.368,18.464,18.432,18.400,18.432,18.464,20.416,18.464,18.432,18.432,18.432,18.432,18.464,18.432,18.464,18.432,18.368,18.464,18.432,18.432,18.528,18.432,18.464,18.464,18.432,18.336,18.432,18.432,18.432,18.432,18.688,18.304,18.432,18.368,18.464,18.432,18.432,18.464,18.432,18.432,18.368,18.432,18.336,18.400,18.432,18.464,18.432,18.560,18.432,18.432,18.368,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.272,18.432,18.432,18.464,18.432,18.496,18.368,18.464,18.432,18.464,18.400,18.432,18.336,18.336,18.432,18.496,18.176,18.752,18.464,18.464,18.464,18.528,18.496,18.496,18.432,19.456,18.272,18.432,18.432,18.752,18.432,18.304,18.400,18.464,18.432,18.432,18.432,18.432,18.432,18.432,18.464,18.432,18.400,18.432,18.432,18.560,18.400,18.432,18.432,18.432,18.432,18.432,18.464,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.336,18.432,18.432,18.432,18.432,18.432,18.432,18.400,18.432,18.432,18.400,18.432,18.464,18.432,18.432,18.432,18.400,18.432,18.432,18.464,20.480,18.432,18.464,18.432,18.496,18.336,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.400,18.432,18.432,18.496,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.656,18.464,18.208
dspark_ctx_kv	4	512	5120	16	64	128	8	48	2	None	pass	16.736	16.256	18.560	0.9999960661	0.06250000	16.800,18.432,18.400,18.464,18.496,16.608,16.480,16.576,16.608,18.400,16.704,16.576,16.800,16.736,16.704,16.768,16.544,16.544,16.544,18.432,16.736,16.736,16.704,18.400,16.576,16.416,16.704,16.736,16.832,16.448,16.672,16.768,16.640,16.864,16.544,16.672,16.672,16.544,16.640,16.736,16.640,18.240,16.800,16.448,18.304,16.768,17.504,16.640,16.576,16.448,18.432,16.736,16.672,16.640,16.640,16.512,17.408,16.672,16.704,16.672,16.736,16.800,16.608,16.800,16.800,16.608,18.368,18.272,16.704,16.640,18.464,16.416,16.640,18.240,18.432,16.640,16.512,16.800,16.512,16.672,18.464,16.736,17.472,16.608,16.704,16.704,16.544,16.480,16.576,16.576,16.576,16.640,16.576,16.576,17.408,16.608,16.704,16.608,16.544,16.352,18.528,16.640,16.736,16.736,16.608,16.448,16.416,16.768,16.448,16.704,16.864,16.960,16.832,18.496,16.640,16.832,16.704,16.832,16.800,16.608,16.672,16.896,16.960,16.864,16.864,16.768,16.672,16.704,18.304,16.704,16.736,16.768,16.832,16.768,16.640,16.864,18.528,18.528,18.464,16.608,16.672,18.368,16.736,16.832,16.640,16.768,18.560,16.896,16.672,16.768,16.672,16.672,16.736,16.800,18.560,16.864,16.576,16.576,16.512,16.800,16.800,16.800,16.736,16.832,16.800,16.832,16.480,16.864,16.768,16.832,16.864,16.448,16.896,16.800,16.800,16.512,16.640,16.672,16.608,16.736,16.800,16.832,16.928,16.768,16.928,16.928,16.864,16.672,16.672,16.832,18.528,16.608,16.640,16.832,16.576,16.384,16.640,17.408,16.640,16.256
dspark_ctx_kv	4	512	5120	16	64	128	8	48	4	None	pass	16.416	16.192	18.432	0.9999938607	0.06250000	16.512,16.416,16.416,16.384,16.416,17.376,16.448,16.352,16.192,16.416,17.440,16.384,16.448,16.416,17.408,17.440,16.448,16.384,17.440,16.352,17.504,17.440,17.408,16.384,16.288,17.440,16.288,16.384,17.440,16.480,17.408,16.416,17.408,17.504,17.408,16.416,17.408,17.376,16.384,17.440,17.376,17.376,17.248,17.440,17.408,17.408,16.384,16.352,17.440,17.408,16.480,17.248,16.384,17.440,17.472,17.376,16.384,16.384,17.504,17.440,17.376,17.408,17.440,17.408,16.384,17.440,17.440,17.440,16.384,16.384,16.384,16.384,17.440,17.408,16.384,17.504,16.384,17.440,16.384,16.480,17.408,16.416,16.480,16.384,17.376,16.384,17.408,17.440,16.384,17.440,17.440,17.408,17.504,16.384,16.384,17.440,16.384,16.384,17.248,17.152,16.544,16.448,16.352,16.576,16.448,16.416,16.384,16.352,17.408,17.472,16.384,16.448,16.448,16.384,16.384,16.320,16.384,16.256,16.384,18.432,17.408,16.384,16.384,16.512,16.384,16.384,16.384,16.480,16.352,17.408,16.608,16.416,17.408,16.384,16.288,16.384,17.312,16.384,16.384,16.384,16.384,16.352,16.384,16.384,16.384,17.408,16.384,16.384,16.448,16.384,16.384,17.408,16.416,16.384,16.416,16.384,16.384,16.384,16.384,16.288,16.384,16.384,16.384,16.416,16.384,16.384,16.384,16.384,16.480,16.384,16.384,16.352,16.384,16.384,16.384,16.384,16.352,17.408,16.672,18.432,17.408,16.384,16.384,16.384,16.384,16.480,16.384,16.256,16.384,16.384,16.384,16.384,16.448,17.408,16.384,17.408,16.608,16.384,16.384,16.192
dspark_ctx_kv	4	512	5120	16	128	128	4	48	1	None	pass	20.480	18.624	22.400	1.0000000000	0.00000000	20.512,20.512,20.480,20.448,20.480,20.480,18.848,20.480,20.512,20.448,20.576,20.480,20.480,20.480,20.480,20.480,20.480,20.480,20.480,20.416,20.480,20.576,20.480,20.480,20.480,20.480,20.480,20.480,20.480,20.512,20.512,20.512,20.480,20.480,20.512,20.448,20.416,20.512,20.512,20.512,18.912,20.480,20.480,20.416,20.512,20.512,20.480,20.512,20.512,20.480,20.256,20.480,20.480,20.352,20.480,18.752,20.480,20.480,20.448,20.512,20.480,20.480,20.480,20.480,20.512,20.512,20.512,20.480,20.480,20.288,20.512,20.480,20.480,20.480,20.480,20.480,20.512,20.480,20.480,20.480,20.384,20.480,20.352,20.480,20.512,20.512,20.288,20.480,20.480,18.848,20.480,20.480,20.384,20.480,20.384,20.448,20.448,20.448,20.512,20.256,20.480,20.544,20.544,20.544,20.576,20.544,20.512,20.480,20.512,20.416,20.512,20.608,20.512,20.512,20.480,20.480,20.448,20.416,20.384,20.480,20.480,20.480,20.416,18.816,20.576,20.480,20.480,18.624,20.480,20.480,20.384,18.880,20.288,20.480,20.608,20.544,20.576,20.576,20.544,20.576,20.576,20.576,20.544,19.552,20.576,20.608,20.576,20.576,20.576,20.576,20.480,20.576,22.400,20.576,19.008,20.608,20.672,20.576,20.576,20.544,20.576,20.576,20.576,20.576,20.544,20.448,20.544,20.576,20.576,20.640,20.608,20.576,20.576,20.608,20.576,20.608,20.608,20.608,20.608,20.544,20.576,20.576,20.576,20.576,20.608,20.480,20.576,20.544,20.544,20.576,20.608,20.448,20.576,20.576,20.512,20.480,20.480,18.880,20.480,20.256
dspark_ctx_kv	4	512	5120	16	128	128	4	48	2	None	pass	18.496	17.600	125.472	0.9999960661	0.06250000	18.496,18.496,18.496,18.496,18.304,18.464,18.496,18.432,18.464,18.464,18.432,19.456,18.336,18.464,18.560,17.632,18.432,18.432,18.432,18.432,18.528,18.432,18.432,18.432,18.432,18.368,18.304,18.560,18.432,18.560,18.432,19.456,18.464,18.432,18.464,18.336,18.432,18.432,18.272,18.464,17.664,18.432,18.432,18.400,18.464,18.432,18.432,18.432,18.432,17.664,17.856,18.432,18.432,18.432,18.432,18.432,18.432,18.432,18.432,17.856,18.432,18.432,18.464,18.464,18.464,18.464,18.432,18.432,18.464,18.432,18.464,18.400,18.400,18.208,18.432,34.144,20.192,21.504,18.816,18.688,18.592,18.688,20.512,18.592,125.472,32.832,18.464,18.432,18.432,18.304,18.240,18.432,18.240,18.432,17.600,18.432,25.664,25.184,18.592,18.208,18.592,18.400,18.496,18.464,18.464,18.400,18.464,18.432,17.664,18.560,18.432,18.560,18.528,18.528,18.592,18.528,18.368,18.528,18.560,18.560,18.560,18.464,18.304,18.560,18.528,18.528,18.592,20.480,18.496,18.560,18.528,18.528,18.560,18.528,18.560,18.528,18.528,18.432,18.528,18.528,18.528,18.496,18.528,18.528,18.560,18.528,18.528,18.528,18.368,18.464,18.560,18.592,18.528,18.560,18.528,18.528,18.528,18.528,18.528,18.528,18.528,18.528,18.560,18.528,18.528,18.528,18.432,18.528,18.528,18.528,18.528,18.496,18.400,18.560,18.432,18.528,18.432,18.560,18.528,18.560,18.528,18.528,18.528,18.528,18.528,18.464,18.528,18.528,18.688,18.528,18.528,18.592,18.528,18.560,18.432,18.240,18.496,20.416,18.432,18.208
dspark_ctx_kv	4	512	5120	16	128	128	4	48	4	None	pass	18.352	16.736	18.656	0.9999939203	0.06250000	17.024,18.464,16.800,18.496,18.336,18.464,18.400,18.432,18.432,18.496,17.440,17.312,17.440,17.408,18.368,18.400,17.440,17.408,17.376,18.464,18.528,18.432,18.432,18.368,17.184,17.440,18.432,18.432,18.432,17.440,18.304,18.432,17.408,17.408,17.408,18.432,18.432,17.376,17.408,18.272,18.432,17.408,18.432,18.432,17.408,16.864,18.400,18.432,18.432,18.432,18.432,17.376,17.440,16.768,18.432,18.464,16.800,16.800,17.344,18.432,18.464,17.792,18.432,18.464,18.432,18.432,17.376,18.432,16.832,18.432,17.408,16.864,18.432,18.432,18.432,17.440,18.432,17.408,18.432,17.248,17.504,18.464,16.896,18.432,18.432,18.240,17.408,16.832,18.528,17.408,17.408,18.432,18.432,17.408,17.472,18.432,17.408,18.496,18.432,17.184,18.656,16.800,17.472,16.832,16.768,16.736,18.272,16.768,16.736,16.768,18.560,18.560,18.464,18.496,17.408,18.432,18.400,18.336,18.432,16.800,18.432,16.864,18.336,18.240,17.408,18.432,18.368,18.432,18.432,18.432,18.336,18.432,18.432,18.432,16.800,18.336,16.832,18.432,18.432,18.368,18.432,16.928,18.432,18.432,18.432,18.432,18.432,18.432,18.336,16.832,17.408,18.432,18.336,18.528,18.272,18.432,18.336,16.832,18.400,18.432,16.800,18.336,18.432,16.864,18.432,18.368,18.432,18.432,17.248,18.336,18.528,17.408,18.304,18.176,18.368,17.408,18.432,18.368,18.432,17.408,16.864,18.432,18.272,18.336,17.408,18.336,16.832,16.864,18.432,16.800,18.432,18.336,18.336,18.432,18.432,16.960,17.408,18.336,18.432,18.208
dspark_ctx_kv	4	512	5120	32	64	128	8	48	1	None	pass	18.496	18.208	20.512	1.0000000000	0.00000000	18.720,18.432,18.464,18.464,18.464,18.464,18.368,18.432,18.624,18.432,18.400,18.464,18.432,18.368,18.528,18.432,18.720,18.336,18.464,18.368,18.432,18.304,18.368,18.688,18.432,18.432,18.432,18.816,20.480,18.336,18.432,18.464,18.496,18.432,18.432,18.368,18.560,18.464,18.464,18.496,18.560,20.480,18.400,18.432,18.496,18.656,18.624,18.432,18.336,18.336,18.336,18.432,18.592,18.272,18.400,18.432,18.720,18.560,18.720,18.432,18.528,20.416,18.432,18.560,18.496,18.432,18.464,18.560,20.480,18.464,18.656,18.368,18.432,18.464,18.464,18.432,18.432,18.432,18.528,18.528,18.592,18.400,18.528,18.400,18.432,18.464,18.496,18.496,18.432,18.528,18.848,18.528,18.784,18.496,18.400,18.432,18.432,18.592,20.512,18.208,18.784,18.496,18.464,20.512,18.720,18.432,18.400,18.496,18.688,18.464,18.432,18.944,18.528,18.528,18.432,18.528,18.432,18.528,18.432,18.848,18.432,18.464,18.432,18.368,18.688,18.976,18.624,18.432,18.624,18.496,18.528,18.432,18.528,18.528,18.528,18.464,18.528,18.432,18.560,18.432,18.496,20.480,20.480,18.432,18.528,18.528,18.560,18.368,18.880,18.560,18.528,18.464,18.432,18.528,18.560,18.432,18.624,18.528,18.528,18.432,18.432,18.560,18.528,18.496,18.432,18.528,18.720,18.624,18.464,18.432,18.880,18.528,18.528,18.368,18.560,18.560,18.624,18.528,18.464,18.528,18.528,18.496,18.432,18.688,18.560,18.624,18.432,18.528,18.496,18.528,18.816,18.784,18.432,18.528,18.432,18.432,18.432,18.432,18.432,18.240
dspark_ctx_kv	4	512	5120	32	64	128	8	48	2	None	pass	16.800	16.416	18.560	0.9999960661	0.06250000	16.768,16.704,16.832,18.560,18.464,18.464,16.576,16.544,16.960,16.672,17.504,16.768,16.704,16.704,16.960,17.440,16.736,18.528,18.400,16.896,18.496,18.528,18.528,16.928,16.768,16.736,16.800,16.800,18.528,16.768,16.800,16.864,16.672,16.832,16.832,16.800,18.464,16.768,16.800,16.864,16.736,16.576,18.496,16.704,16.736,16.640,18.528,16.672,18.432,16.800,18.496,18.432,18.432,16.928,16.928,16.800,17.504,16.704,18.432,16.768,16.928,16.832,16.768,18.496,16.672,17.536,16.864,18.464,16.736,16.896,18.496,18.528,18.560,18.528,18.432,18.432,16.768,16.864,18.464,16.704,18.496,16.576,18.560,16.736,16.832,18.560,16.832,18.528,18.432,16.576,16.736,18.496,18.336,16.768,16.640,16.576,16.864,16.544,16.704,16.416,16.896,16.640,16.832,16.640,16.768,16.832,16.704,16.480,16.640,16.832,18.272,18.432,16.640,18.432,18.496,18.432,16.736,16.768,16.480,16.640,16.672,16.736,16.608,18.272,16.704,16.608,16.768,16.832,16.672,16.704,18.432,16.640,16.608,16.768,16.640,16.640,16.864,18.464,18.304,18.432,16.672,18.432,16.672,16.640,16.672,16.640,16.544,16.448,16.768,16.768,16.800,16.800,16.704,18.432,16.640,18.432,16.704,18.368,16.704,16.800,16.608,16.736,18.400,16.800,16.512,16.704,17.408,16.768,16.672,18.560,16.864,16.512,18.432,16.800,16.640,16.672,16.608,16.672,18.272,16.704,16.544,16.800,16.736,16.640,18.432,18.432,16.544,18.432,18.432,16.768,16.704,18.432,16.832,16.608,16.672,16.640,16.832,16.640,16.672,18.208
dspark_ctx_kv	4	512	5120	32	64	128	8	48	4	None	pass	16.480	16.160	26.752	0.9999933243	0.06250000	16.512,16.448,16.416,16.416,16.416,16.480,16.416,16.384,16.384,17.504,16.448,16.480,17.376,16.640,16.448,16.512,16.480,16.480,16.416,16.576,17.504,16.512,16.480,16.448,16.480,16.480,17.504,17.504,17.504,16.448,17.504,16.736,17.568,16.480,16.512,16.448,16.480,16.416,16.480,17.440,16.416,17.472,17.504,16.448,16.576,16.544,16.480,17.504,16.448,16.416,17.504,16.704,17.536,17.472,17.504,16.448,16.544,16.448,16.480,16.416,16.448,17.504,16.480,17.472,17.504,16.448,16.416,16.512,17.504,16.448,16.512,16.448,16.576,17.472,16.480,16.480,16.576,16.672,16.512,16.480,17.504,16.512,17.536,16.544,17.504,17.472,16.480,16.416,16.448,16.448,16.480,17.504,17.504,16.448,17.440,16.480,17.408,19.456,17.408,18.208,16.736,16.416,16.480,16.448,16.448,16.448,16.416,16.352,16.416,16.512,16.576,16.480,16.672,16.352,17.504,16.448,16.448,16.352,16.352,16.416,16.448,16.480,16.352,16.480,16.384,16.480,16.352,16.480,16.736,16.480,16.352,16.448,16.608,16.448,17.536,16.352,16.384,16.480,17.536,16.352,16.512,17.536,16.480,16.480,16.640,16.576,16.480,16.352,16.640,17.504,16.448,16.544,16.384,16.384,17.536,17.504,18.400,18.464,17.504,26.752,16.320,16.448,16.480,16.544,16.256,16.480,16.512,16.608,16.384,16.480,16.608,17.504,16.576,16.384,16.480,16.448,16.480,16.352,16.512,16.480,17.536,16.416,16.480,16.512,16.448,16.480,16.352,17.504,16.480,17.504,16.448,16.480,16.480,16.544,16.384,16.416,16.384,17.408,16.384,16.160
dspark_ctx_kv	4	512	5120	32	128	128	4	48	1	None	pass	20.544	20.256	50.560	1.0000000000	0.00000000	20.352,20.448,20.544,20.544,20.576,20.512,20.544,20.480,20.480,20.480,20.736,20.608,20.576,20.448,20.608,20.576,20.576,20.608,20.544,20.512,20.576,20.608,20.576,22.592,22.624,20.544,20.544,20.608,20.608,20.608,20.576,20.480,20.576,20.608,20.608,20.576,20.576,20.608,20.576,20.576,20.512,20.704,20.576,20.544,20.576,20.544,20.576,20.608,20.576,20.576,20.608,20.512,20.480,20.608,20.544,20.544,20.544,20.608,20.576,20.576,20.480,20.544,20.544,20.576,20.576,20.416,20.576,20.576,20.448,20.576,20.576,20.544,20.576,20.480,20.416,20.544,20.544,20.608,20.576,20.576,20.576,20.576,20.544,20.512,20.576,20.576,20.576,20.640,20.576,20.576,20.576,20.576,20.576,20.576,20.512,20.480,20.416,20.512,20.288,20.256,20.576,20.448,20.512,20.544,20.480,20.512,20.544,20.480,20.480,20.512,31.200,22.784,28.384,22.592,50.560,28.800,48.960,32.608,36.672,38.912,20.512,20.480,20.416,22.368,28.672,20.448,20.480,20.512,22.912,29.504,20.864,20.384,20.320,20.480,20.448,20.512,20.512,20.576,20.480,20.512,20.576,20.480,20.480,20.480,20.576,20.384,20.480,20.480,20.480,20.480,20.480,20.352,20.448,20.480,20.448,20.480,20.480,20.576,20.480,20.480,20.480,20.480,20.480,20.448,20.416,20.480,20.416,20.512,20.416,20.512,20.480,20.512,20.608,20.448,20.480,20.480,20.448,20.480,20.640,20.480,20.480,20.480,20.480,20.768,20.448,20.416,20.448,20.512,20.416,20.480,20.480,20.544,20.480,20.480,20.416,20.480,20.480,20.512,20.768,22.304
