# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
dspark_main_proj	4	5120	15360	16	64	128	80	48	1	None	pass	364.544	361.760	441.216	1.0000000000	0.00000000	364.544,364.576,364.576,365.824,363.648,363.904,363.552,363.520,362.656,364.544,362.816,362.560,362.656,387.264,367.584,364.640,363.552,362.016,362.592,366.528,361.984,362.560,362.592,363.712,363.680,363.776,361.984,362.560,362.720,362.560,362.656,365.568,362.688,364.672,364.704,363.488,365.728,364.576,364.672,363.616,365.728,363.712,392.256,364.672,363.616,361.888,363.584,364.640,363.712,363.520,365.728,365.024,396.256,366.752,364.928,371.872,423.968,403.168,416.864,365.568,366.784,368.768,367.712,366.752,367.712,366.464,367.712,371.776,441.216,391.008,374.784,366.496,367.904,383.168,372.768,367.680,366.784,363.680,364.704,362.592,362.688,362.112,363.648,364.704,413.888,362.656,364.672,369.920,397.408,419.008,418.272,407.680,364.640,366.880,375.776,364.544,370.624,395.296,364.352,389.472,365.568,365.568,364.832,363.904,362.560,363.744,364.064,363.520,364.544,363.488,363.648,362.368,364.544,364.576,364.928,362.880,364.544,362.752,363.488,362.368,368.640,362.592,364.544,393.216,362.528,365.568,364.544,366.592,366.560,363.424,363.520,362.592,363.520,363.520,364.544,364.544,364.576,363.552,362.496,364.544,362.496,363.520,363.488,364.544,362.496,363.520,363.552,363.520,364.704,363.520,363.520,371.712,386.080,363.552,370.528,364.544,362.496,364.544,362.336,364.544,362.496,362.496,362.496,363.520,363.520,361.760,364.544,362.496,362.816,367.584,363.520,366.528,363.520,362.496,364.544,362.304,364.544,363.520,362.784,362.496,394.240,362.496,363.520,362.496,362.496,364.544,363.392,362.528,368.640,363.520,363.520,365.600,364.544,362.336,362.880,362.816,367.648,363.520,364.800,365.344
dspark_main_proj	4	5120	15360	16	64	128	80	48	2	None	pass	366.752	364.512	513.056	0.9999958277	0.12500000	370.912,366.656,366.656,365.632,366.432,365.600,365.696,365.632,364.640,366.688,365.568,365.632,365.696,366.528,396.288,365.664,366.880,366.944,366.688,365.056,386.496,392.192,370.592,367.776,367.776,366.656,364.576,366.688,366.528,365.792,365.984,364.512,366.720,366.528,365.888,366.688,366.560,366.688,366.560,365.760,366.656,365.728,389.184,372.704,367.552,367.680,364.608,366.688,367.552,367.712,366.688,366.752,368.768,366.560,367.776,365.504,371.776,366.688,365.760,367.520,368.800,367.680,367.488,383.072,366.816,367.136,365.920,366.784,417.888,412.320,442.336,401.888,372.000,370.848,368.768,367.712,370.688,367.776,370.880,367.744,445.920,370.848,368.768,368.800,369.792,385.216,393.408,371.488,371.872,366.624,366.624,397.504,366.080,383.584,406.528,513.056,408.160,414.720,372.288,365.696,367.776,368.736,397.408,367.680,367.648,366.624,366.720,367.712,365.728,366.752,366.784,365.728,368.704,366.816,364.704,367.776,365.696,366.048,367.808,364.928,366.784,365.728,365.696,366.784,364.704,365.856,367.584,365.760,366.656,364.672,378.880,384.096,367.936,366.720,368.800,366.720,364.736,366.720,366.592,366.784,366.656,365.728,365.728,372.896,366.080,366.784,365.760,365.664,366.752,367.776,364.864,366.688,367.808,366.080,367.808,365.568,365.696,367.808,364.928,397.504,365.696,367.776,366.656,365.088,366.112,365.536,367.776,365.760,365.856,365.632,366.592,367.776,366.592,366.752,364.896,367.712,366.784,373.952,366.784,367.776,365.920,367.744,366.656,366.752,366.784,366.816,368.832,390.272,371.904,366.144,366.752,364.832,365.760,366.784,366.560,365.632,367.712,366.592,366.592,368.416
dspark_main_proj	4	5120	15360	16	64	128	80	48	4	None	pass	365.568	363.360	557.056	0.9999937415	0.12500000	366.720,365.632,364.672,364.672,366.656,364.544,365.696,365.728,392.352,364.640,365.536,364.640,364.704,366.560,366.688,365.856,366.656,365.568,364.864,365.152,364.544,364.544,363.680,364.544,364.832,364.672,364.608,366.752,363.744,363.744,366.848,364.448,365.664,365.664,367.808,365.056,392.288,367.744,363.648,366.752,365.568,366.592,364.992,365.120,364.768,364.640,364.736,364.544,364.704,365.856,364.928,363.520,365.632,364.704,365.888,365.632,369.824,364.672,366.304,365.728,365.568,365.728,363.808,364.448,368.736,392.032,364.640,368.928,370.848,363.776,366.560,365.632,365.888,364.704,365.664,364.000,366.592,365.440,365.056,365.568,364.544,364.704,364.448,365.728,365.632,366.592,364.768,364.576,366.720,366.688,370.848,364.704,364.960,394.304,364.448,367.616,364.672,369.184,398.496,367.712,366.688,366.688,365.824,365.632,365.760,366.784,367.584,364.544,364.576,364.928,364.544,393.216,365.568,364.704,366.592,364.544,364.544,365.568,363.744,364.544,366.592,365.568,365.568,366.912,368.736,365.568,365.952,364.832,380.896,387.744,406.880,390.880,557.056,371.744,367.552,365.536,365.568,368.608,394.048,393.312,363.840,365.568,365.568,364.896,364.576,366.432,366.592,363.808,363.776,365.568,367.616,365.408,366.592,365.568,364.576,365.568,365.664,365.792,367.616,365.568,365.504,364.800,364.896,364.544,368.640,363.360,365.568,393.056,365.824,365.536,365.536,364.576,365.568,365.536,369.664,365.568,364.928,365.568,366.592,366.016,365.568,364.544,364.704,365.568,365.568,367.648,364.544,364.544,365.568,365.536,366.592,364.544,365.568,364.576,364.448,371.872,387.968,364.576,366.592,364.416
dspark_main_proj	4	5120	15360	16	128	128	40	48	1	None	pass	363.520	361.440	391.584	1.0000000000	0.00000000	366.656,371.744,364.480,361.536,364.576,362.048,361.696,361.568,362.464,362.592,364.544,365.568,366.784,362.464,363.520,363.456,379.040,374.848,363.488,363.680,364.320,363.584,362.560,361.856,362.528,364.512,362.816,363.424,361.568,363.552,362.464,362.656,362.464,362.560,364.672,363.584,362.592,361.760,361.824,364.512,363.584,361.696,362.656,363.584,364.480,391.264,362.144,366.784,361.696,361.440,362.560,363.424,363.872,363.968,364.512,361.632,363.488,361.568,363.584,370.848,363.584,361.696,362.656,363.616,362.624,362.592,362.464,364.736,362.464,362.560,363.488,362.560,363.680,375.808,380.032,363.584,362.656,361.696,362.464,365.632,364.544,363.616,362.592,361.792,362.560,362.464,363.616,364.608,363.680,363.680,362.656,363.680,362.720,370.688,364.640,362.496,364.544,361.888,363.456,362.272,364.576,364.608,364.544,364.576,363.008,363.648,362.688,362.656,362.880,361.472,363.520,367.616,362.496,363.520,361.632,363.840,364.544,363.520,365.440,364.480,391.584,365.568,363.488,364.544,363.520,363.520,362.560,364.544,365.568,362.496,362.496,361.696,362.496,363.520,361.632,366.592,363.008,366.592,368.096,364.704,366.592,362.656,363.616,365.760,362.944,371.872,363.936,362.656,376.032,383.936,368.640,372.448,368.640,368.640,367.712,368.640,373.760,368.608,368.480,362.656,363.584,364.704,363.840,361.984,362.656,364.544,363.680,362.720,362.464,363.616,364.096,362.688,363.968,362.656,362.592,362.656,364.640,391.264,361.792,367.680,362.656,363.648,362.656,362.624,363.616,362.656,363.680,363.552,362.784,363.008,364.672,362.592,363.008,362.656,361.760,364.544,363.520,363.520,363.552,363.360
dspark_main_proj	4	5120	15360	16	128	128	40	48	2	None	pass	367.728	365.728	397.408	0.9999958277	0.12500000	368.736,368.672,367.808,395.360,367.648,367.040,366.688,367.712,366.656,368.800,367.456,367.680,366.688,367.776,367.968,366.560,366.560,367.680,372.736,367.744,367.712,366.432,368.800,366.688,366.016,366.752,365.760,366.848,367.040,366.624,369.664,383.104,378.016,366.688,366.752,367.584,367.776,367.776,367.744,368.128,369.920,367.776,367.776,368.640,367.744,367.808,367.776,368.800,366.752,368.960,367.616,368.736,365.888,368.800,366.752,367.616,366.496,366.784,365.728,367.552,394.464,367.584,367.680,366.592,367.776,368.800,366.176,368.736,367.616,366.560,367.232,366.688,368.000,369.824,368.800,367.520,366.816,367.776,366.752,366.688,367.776,367.616,368.000,367.776,367.776,365.856,368.800,366.592,397.408,367.680,367.776,370.784,368.736,366.720,367.584,366.592,369.696,367.680,367.616,367.424,370.688,393.120,367.776,366.656,367.680,368.672,367.840,366.752,370.720,366.560,366.976,367.040,368.032,368.672,366.560,367.680,366.848,367.680,367.680,367.008,367.744,368.544,367.744,367.808,369.728,368.000,367.648,371.712,366.688,396.256,366.688,366.592,369.760,366.912,368.704,369.792,366.784,369.824,367.776,368.832,367.008,367.808,366.752,367.808,368.800,368.800,367.776,366.784,367.008,368.800,366.752,367.808,368.032,367.648,368.832,367.072,367.040,387.040,375.840,367.776,368.832,367.776,371.904,367.584,370.816,368.704,367.776,369.760,367.712,366.848,367.776,367.008,367.008,366.848,367.168,367.776,368.608,367.776,367.808,367.104,365.952,368.800,366.688,367.680,368.736,370.688,392.288,367.136,368.800,370.752,366.784,370.848,368.640,367.008,366.592,367.616,366.592,366.720,366.592,367.392
dspark_main_proj	4	5120	15360	16	128	128	40	48	4	None	pass	365.728	363.680	394.336	0.9999935627	0.12500000	366.848,365.600,365.632,364.608,365.408,364.544,364.576,364.608,364.640,366.592,367.712,366.112,364.832,366.624,365.600,363.680,366.560,367.712,368.768,391.296,366.656,366.560,365.600,364.576,364.064,367.712,366.560,367.712,364.992,365.664,366.816,366.560,366.752,364.544,364.640,365.696,365.728,365.664,365.536,364.608,364.544,365.728,366.016,365.728,365.056,365.728,366.592,394.336,365.888,364.736,367.616,365.632,367.616,365.664,364.736,365.088,365.760,366.752,364.736,365.760,366.752,365.728,365.728,364.512,364.768,365.728,366.752,364.896,365.632,365.536,364.992,364.704,367.776,364.704,365.728,376.960,381.088,366.656,365.632,364.992,363.808,365.632,366.752,365.088,365.760,366.880,364.704,366.624,365.696,365.696,365.888,365.760,366.816,366.752,366.560,366.592,367.616,365.568,366.816,367.392,366.816,366.560,367.488,367.648,366.816,364.064,365.920,369.888,365.952,366.752,393.152,368.640,366.688,365.728,365.920,365.568,365.536,366.592,365.568,365.024,364.896,365.568,366.592,364.864,365.728,365.568,366.688,365.568,369.664,365.568,366.592,366.656,366.592,365.568,364.800,367.584,365.728,365.600,371.808,387.072,366.592,370.848,365.600,365.728,366.592,364.832,366.560,366.592,366.656,365.568,367.648,365.568,364.672,366.528,366.560,368.736,365.568,368.640,365.568,365.568,364.832,366.592,365.568,366.592,365.568,365.696,364.608,394.240,367.616,366.592,365.728,366.560,364.768,365.568,366.592,371.712,364.544,364.704,364.736,366.592,364.576,366.592,368.352,365.568,367.648,365.568,365.568,365.536,365.568,366.592,367.616,367.680,365.600,365.536,365.440,380.864,376.992,366.432,364.768,366.560
dspark_main_proj	4	5120	15360	32	64	128	80	48	1	None	pass	365.664	362.528	495.680	1.0000000000	0.00000000	396.416,373.760,375.104,373.824,363.424,363.520,363.744,366.656,365.600,364.544,364.736,363.520,365.568,365.632,366.656,364.640,365.568,365.632,363.584,363.616,363.584,363.936,366.752,363.520,367.712,365.632,365.600,363.904,373.760,382.016,364.608,364.608,364.672,362.528,365.760,367.680,372.800,367.712,371.712,367.552,367.424,368.640,374.720,369.568,365.664,366.592,364.544,364.672,368.736,366.784,364.608,365.568,362.912,363.840,363.040,416.800,364.576,397.920,369.888,484.064,371.008,460.448,367.616,369.760,365.536,367.616,375.840,371.712,372.736,452.096,417.472,371.776,370.688,375.744,418.976,406.528,379.840,373.760,365.568,376.864,364.640,369.760,365.728,364.800,390.592,363.008,364.672,365.088,362.752,363.456,364.704,362.944,364.704,364.704,363.488,364.544,365.568,365.568,364.544,363.392,364.800,366.464,365.600,364.512,365.664,366.944,363.520,364.704,364.640,364.704,364.640,362.944,364.704,364.544,365.600,364.896,365.696,365.664,364.640,374.880,392.992,364.704,369.856,365.696,363.712,364.704,364.704,364.736,364.000,365.664,363.488,364.704,364.768,366.752,365.728,365.760,365.664,365.632,365.728,367.232,364.736,364.704,365.728,365.728,364.672,364.736,365.728,365.760,393.632,364.640,363.584,365.568,366.784,363.712,365.728,365.984,366.784,364.704,365.952,366.592,365.696,368.736,365.600,364.416,365.728,364.096,364.704,366.752,389.792,367.648,367.744,370.944,495.680,377.408,462.112,366.784,399.424,366.784,366.720,369.824,368.064,369.664,366.752,407.904,406.080,367.072,365.568,365.760,398.976,395.360,373.024,365.760,364.704,365.760,364.544,363.520,364.576,365.568,364.544,365.344
dspark_main_proj	4	5120	15360	32	64	128	80	48	2	None	pass	367.616	364.512	521.568	0.9999958277	0.12500000	366.624,365.600,369.696,368.640,364.864,367.680,365.984,366.720,366.112,366.752,365.728,366.656,365.664,365.536,381.024,378.144,367.520,365.792,366.752,364.640,365.152,365.696,366.976,367.744,365.632,364.960,366.624,366.592,369.152,367.616,366.784,366.688,366.880,367.680,366.752,366.880,365.664,365.728,367.936,366.752,365.728,366.592,369.728,397.504,365.856,366.720,366.784,404.256,371.616,375.296,387.072,454.944,395.200,401.376,369.760,367.168,373.152,367.776,370.240,372.800,368.800,379.040,521.568,368.256,370.816,368.992,392.352,391.904,367.840,372.736,394.400,366.720,367.808,364.864,366.688,367.616,367.168,367.616,367.616,427.168,367.680,370.880,375.488,469.280,386.016,502.048,368.928,370.848,365.920,366.176,368.832,371.872,369.760,366.720,464.800,380.576,374.784,393.184,370.880,387.072,368.992,396.320,367.616,371.744,366.592,366.560,366.912,367.936,365.472,364.736,365.568,367.616,365.920,368.640,364.608,367.424,367.616,366.560,367.616,368.480,367.648,365.472,367.552,367.616,366.624,366.816,365.760,366.560,366.368,395.232,364.736,366.624,365.472,366.464,366.496,367.648,366.784,372.768,366.592,366.560,368.640,368.608,366.976,367.680,367.616,367.616,367.616,365.920,367.584,367.552,367.520,367.616,368.576,366.496,368.640,369.696,367.616,378.784,380.960,366.656,366.496,365.568,365.536,364.608,367.616,366.528,400.544,369.792,369.440,378.112,518.176,384.256,462.144,368.640,370.624,366.592,368.544,373.760,366.624,370.688,368.544,474.720,381.472,370.944,369.376,400.064,383.968,384.544,369.440,366.560,365.696,367.616,366.496,367.520,366.528,367.616,367.520,365.504,367.648,364.512
dspark_main_proj	4	5120	15360	32	64	128	80	48	4	None	pass	365.728	363.616	500.288	0.9999936223	0.12500000	365.664,364.640,365.600,364.576,368.768,364.608,365.600,374.784,384.096,365.568,365.728,365.664,364.608,364.704,365.696,364.672,364.640,364.032,366.784,364.960,364.864,364.640,363.744,365.664,364.800,364.704,364.704,366.752,365.760,364.736,365.728,365.632,365.056,365.504,365.728,364.416,392.288,365.728,370.848,363.808,365.920,364.608,365.696,365.920,365.568,364.800,365.664,365.952,365.728,363.616,365.056,363.680,364.736,366.720,364.064,365.728,364.096,364.704,366.880,365.728,364.736,365.536,364.640,365.504,378.944,379.072,366.784,366.560,365.760,365.696,366.752,366.720,369.856,365.696,365.792,364.736,365.728,364.640,365.568,365.664,365.568,401.568,368.544,367.648,365.760,379.136,494.464,373.696,461.632,365.728,368.800,364.704,392.192,372.896,364.544,367.712,364.544,365.568,379.040,500.288,365.824,366.656,367.648,366.624,364.864,365.472,364.672,364.992,365.664,365.728,380.928,376.928,364.736,366.688,364.704,364.864,365.760,367.648,365.152,365.760,365.760,364.768,364.704,364.704,365.760,364.704,365.760,365.920,364.704,364.128,364.704,366.560,365.696,364.064,365.728,364.064,368.768,365.760,366.752,392.192,365.792,365.728,364.576,366.720,364.832,364.832,366.752,363.648,365.856,364.736,364.704,365.536,366.752,366.720,365.696,365.792,365.760,364.704,365.760,365.920,366.944,364.640,365.696,365.856,364.960,415.936,366.752,394.304,371.808,389.248,414.208,426.176,398.624,365.696,365.728,370.848,368.704,372.160,364.800,366.784,367.776,367.616,374.016,473.248,368.672,368.544,368.800,388.704,386.464,366.752,366.784,368.736,365.728,366.720,373.760,383.872,364.544,364.544,364.544,364.320
dspark_main_proj	4	5120	15360	32	128	128	40	48	1	None	pass	363.632	361.440	398.496	1.0000000000	0.00000000	362.688,364.608,364.608,362.560,363.552,364.416,362.848,364.640,362.784,364.704,362.624,363.488,364.672,364.704,363.520,361.760,364.704,362.496,364.704,363.520,363.488,364.960,376.992,378.848,363.616,362.976,363.456,363.552,363.488,364.512,363.424,364.640,362.560,362.464,363.712,364.704,363.616,361.440,363.648,362.560,362.624,364.576,363.680,364.512,363.680,361.664,363.936,362.848,364.608,365.664,362.496,392.096,363.488,363.616,365.760,363.648,367.712,366.688,364.960,366.688,362.560,369.760,363.616,362.720,363.488,362.592,361.600,362.656,363.488,364.704,363.744,362.656,364.704,363.680,362.624,364.640,365.728,362.464,364.512,375.840,379.968,363.648,364.096,363.488,365.728,362.816,363.680,362.752,365.504,362.560,363.616,361.920,362.464,363.648,363.456,369.600,376.768,398.496,364.416,364.416,363.776,363.584,364.608,363.968,365.760,363.648,364.672,363.520,363.520,363.520,364.480,363.552,362.496,363.968,363.520,364.544,363.520,363.520,388.128,368.096,363.488,363.520,367.456,363.520,363.392,363.520,362.784,363.520,363.520,365.952,363.520,364.576,363.520,363.328,364.544,363.520,363.520,364.544,363.520,364.544,364.512,364.352,363.488,363.488,363.520,364.544,362.496,393.216,364.576,363.520,364.544,366.656,363.648,365.568,364.544,362.496,366.592,362.656,365.568,365.568,363.520,362.560,363.520,364.544,363.520,363.648,363.520,364.576,363.488,363.520,363.520,362.656,362.496,362.624,363.520,386.400,367.616,365.568,365.568,363.520,364.896,364.544,364.544,366.624,362.912,364.544,363.520,362.496,365.568,362.496,363.648,362.496,363.520,363.520,363.520,365.952,387.168,366.624,367.616,363.328
