# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
engram_wkv	4	25600	6144	16	64	128	400	48	1	None	pass	720.896	715.136	1063.872	1.0000000000	0.00000000	722.080,721.984,718.944,747.680,719.008,716.224,718.976,715.840,720.832,718.112,719.232,720.224,718.784,719.776,722.880,720.896,723.904,733.152,745.408,722.976,761.344,812.672,800.160,723.904,723.872,729.024,724.928,738.784,792.736,720.576,726.208,755.328,739.520,723.840,719.840,715.136,718.144,716.736,763.936,718.752,717.952,721.888,718.816,716.736,717.888,716.736,715.968,716.160,723.008,719.936,718.816,719.840,718.880,718.848,724.000,718.752,753.728,719.840,719.200,771.040,731.264,739.232,820.416,811.136,724.960,728.992,728.096,728.000,779.232,764.768,720.736,731.968,777.920,756.800,719.936,717.888,719.136,718.784,718.816,716.832,718.784,717.856,717.728,718.784,716.768,716.800,717.760,718.048,720.864,719.904,732.064,733.152,718.752,720.800,726.080,719.776,739.680,733.984,722.048,747.040,750.656,740.544,728.448,719.840,717.984,717.856,721.952,718.848,720.800,718.848,719.040,719.872,718.784,717.984,719.104,718.848,717.824,716.832,717.728,760.864,721.920,719.872,755.776,776.544,722.944,719.776,719.872,720.896,720.800,776.288,724.000,725.664,851.200,828.576,723.968,721.920,749.568,726.048,732.224,864.096,726.112,729.440,759.328,730.368,717.824,717.824,718.784,720.832,720.704,718.848,718.752,717.760,719.872,717.824,748.576,717.856,721.920,718.848,719.872,718.848,721.920,718.848,719.808,721.888,724.288,720.032,748.608,747.232,759.424,1063.872,743.552,763.840,723.968,758.912,720.832,740.960,864.032,834.528,729.120,723.872,723.968,725.920,721.920,862.336,722.720,721.824,754.688,742.560,760.160,722.944,718.048,720.128,719.328,718.176,718.848,718.176,718.848,719.808,718.848,717.440
engram_wkv	4	25600	6144	16	64	128	400	48	2	None	pass	725.104	719.936	864.704	0.9999958277	0.12500000	722.400,722.976,721.952,722.080,726.112,726.016,725.120,726.976,744.480,721.888,724.928,720.928,722.912,724.096,721.824,723.040,722.304,722.976,722.816,725.056,722.976,721.280,721.888,727.008,723.904,750.624,720.928,719.936,721.856,724.032,722.176,725.152,725.024,720.864,721.856,728.256,723.968,722.880,720.896,721.984,721.984,723.360,722.880,764.448,723.904,723.136,720.384,721.792,722.912,721.856,722.944,721.824,723.808,726.080,726.016,724.928,727.936,721.856,721.952,725.024,751.648,740.320,732.416,800.288,739.040,797.088,729.056,725.984,728.000,725.952,728.192,836.992,727.360,729.344,739.360,743.392,723.936,728.000,741.376,722.880,721.984,721.216,724.928,722.880,720.960,722.848,725.024,721.056,722.912,722.880,723.008,723.904,721.920,721.824,723.872,753.888,721.696,726.048,721.824,721.600,735.264,811.904,782.016,730.080,750.176,769.248,725.312,725.088,724.992,724.160,721.568,725.152,725.184,724.160,725.216,724.160,725.024,724.192,725.184,736.384,739.552,723.328,726.112,725.024,726.112,724.256,725.184,726.208,728.256,725.152,726.112,723.104,726.176,762.144,730.304,740.192,836.768,864.704,727.200,727.200,729.440,724.128,730.240,752.416,783.840,733.152,727.104,751.808,756.896,721.248,726.272,727.232,724.000,724.128,762.880,722.016,723.392,722.560,723.264,722.144,725.184,723.136,725.184,724.448,723.040,725.344,727.136,726.112,726.048,729.504,724.000,722.080,755.808,724.192,741.504,727.616,729.536,813.152,764.736,794.688,737.280,725.024,729.472,732.160,730.304,761.632,771.232,726.912,745.632,806.304,730.560,727.136,725.120,724.384,724.896,721.920,727.040,725.024,727.104,722.720
engram_wkv	4	25600	6144	16	64	128	400	48	4	None	pass	723.872	718.912	877.888	0.9999938011	0.12500000	720.960,721.920,721.152,719.968,723.072,722.048,722.048,720.032,721.888,756.672,720.832,721.728,719.840,720.864,720.864,723.936,726.016,720.832,719.744,723.904,720.800,720.160,722.912,719.904,720.832,722.912,723.872,758.848,720.832,721.856,719.776,721.920,723.968,720.864,720.864,719.904,722.752,722.848,719.808,719.776,721.856,721.888,720.768,722.880,734.112,737.184,722.848,721.760,721.312,723.936,721.888,720.896,719.712,722.944,722.848,739.776,746.432,728.000,738.496,811.936,816.064,727.808,767.104,728.032,722.944,730.080,729.056,847.968,726.912,725.952,755.232,751.584,721.856,722.880,722.848,720.928,753.440,728.480,736.160,862.240,811.872,728.096,729.504,732.192,720.928,726.048,722.976,754.080,785.728,725.120,728.096,766.272,729.824,731.168,720.128,721.888,783.392,724.224,725.024,790.944,722.304,725.024,756.768,720.960,724.096,720.960,722.400,723.872,727.008,722.912,721.984,724.000,721.856,722.944,721.888,724.992,746.016,737.216,809.184,765.376,834.496,730.016,726.048,729.216,733.120,730.880,731.488,865.760,729.088,725.504,754.400,751.616,722.912,721.920,722.976,721.440,721.984,762.784,721.920,721.920,721.888,723.968,722.208,720.896,722.304,722.848,729.376,728.064,730.048,723.968,724.864,722.912,725.024,722.912,734.304,733.216,720.000,736.384,727.648,730.944,848.800,761.056,763.936,730.016,723.904,731.136,726.336,725.056,877.888,726.944,725.984,768.064,761.792,723.168,721.952,721.952,720.096,724.960,720.896,721.920,721.888,720.896,723.968,723.968,721.760,721.952,721.952,721.856,718.912,761.792,722.944,723.712,723.904,722.944,725.952,720.768,721.952,722.880,721.312,721.216
engram_wkv	4	25600	6144	16	128	128	200	48	1	None	pass	722.480	718.784	864.960	1.0000000000	0.00000000	721.088,720.896,720.992,719.872,720.896,720.896,720.064,766.016,718.784,721.824,725.920,721.888,721.376,721.856,720.928,722.912,720.896,719.808,719.136,720.864,721.856,719.840,719.968,718.784,723.968,748.768,721.856,721.856,718.816,721.856,721.824,727.104,721.984,719.776,718.816,719.840,721.856,720.800,720.864,720.128,720.832,724.000,744.384,724.928,720.800,722.912,720.768,720.832,720.832,720.864,719.808,719.808,721.024,724.992,721.952,719.904,718.848,719.872,720.928,721.952,763.936,720.896,721.952,722.976,720.928,719.904,720.960,720.832,719.936,720.832,720.928,737.760,721.792,726.400,741.024,820.768,836.640,751.584,729.120,724.096,722.944,725.024,735.744,841.120,728.064,727.040,740.096,763.328,729.120,719.872,722.976,783.680,724.000,727.872,813.760,798.464,791.200,729.088,724.000,732.096,723.072,748.576,726.048,720.928,723.104,723.168,720.960,724.896,721.056,720.800,721.920,723.072,723.040,722.912,721.184,723.872,721.984,723.264,722.848,766.976,720.864,722.848,732.192,721.952,722.944,720.288,722.912,724.960,721.024,721.952,721.920,723.968,724.992,723.968,724.064,720.320,723.968,747.488,719.968,721.920,721.344,722.112,720.896,724.128,722.272,720.416,722.496,722.112,720.992,725.824,724.000,725.216,722.464,726.016,750.592,722.016,722.080,723.136,722.016,722.080,722.176,758.144,729.312,744.032,832.256,819.552,729.184,727.040,723.424,728.256,730.208,749.792,864.960,727.968,726.528,741.792,753.216,728.064,726.208,721.056,722.208,721.216,724.128,723.328,724.224,723.136,721.472,724.160,719.168,767.872,720.992,721.280,724.064,723.136,723.968,721.952,721.952,720.896,720.736,726.816
engram_wkv	4	25600	6144	16	128	128	200	48	2	None	pass	726.544	721.888	826.176	0.9999958277	0.12500000	725.152,771.008,723.296,725.088,723.168,726.560,727.072,733.120,723.904,724.064,723.904,725.184,724.064,725.984,721.888,725.024,725.120,725.952,739.104,737.536,724.928,723.808,724.896,725.152,724.928,722.912,723.904,725.408,730.048,724.064,727.072,724.448,724.992,726.048,722.976,727.072,763.968,726.048,726.016,727.040,726.048,724.992,723.936,727.040,723.936,723.424,724.992,726.048,723.936,727.040,730.144,725.920,726.048,724.256,751.616,724.000,723.360,723.328,724.000,726.112,729.120,726.432,725.984,725.024,722.816,724.992,725.984,727.072,760.832,727.808,725.952,767.968,820.224,735.648,805.248,735.232,731.136,731.520,729.120,729.088,732.160,728.064,806.528,731.104,728.384,730.304,754.784,745.184,763.904,723.968,724.000,727.008,724.960,726.048,724.032,723.968,726.048,724.448,724.992,724.768,727.072,756.736,725.088,731.328,736.160,738.592,734.080,729.120,738.176,730.112,728.064,725.952,726.944,725.952,725.056,723.936,726.240,723.936,760.800,726.208,727.040,724.096,727.136,726.528,724.992,726.112,727.104,726.144,728.064,726.016,725.984,727.904,726.432,726.336,729.280,726.112,756.928,727.232,726.272,726.176,727.232,730.304,727.104,725.184,724.512,728.160,729.088,729.184,728.128,728.064,726.976,725.216,728.064,750.720,728.064,728.384,728.256,726.208,727.264,727.136,727.264,725.248,726.208,722.016,773.120,729.664,731.264,802.752,742.720,809.088,740.416,751.584,728.064,728.064,732.320,735.232,735.360,826.176,737.440,729.728,730.432,767.168,749.664,727.072,724.160,724.512,726.240,724.960,766.048,726.080,726.112,727.040,727.072,729.120,725.952,725.152,725.984,727.040,726.080,725.888
engram_wkv	4	25600	6144	16	128	128	200	48	4	None	pass	724.112	720.224	839.616	0.9999936819	0.12500000	723.584,724.960,723.296,724.896,740.384,733.344,723.040,724.960,722.880,724.128,721.760,722.880,721.824,722.880,723.872,721.824,722.880,723.936,723.040,722.912,721.888,724.000,766.336,723.936,724.928,724.032,723.872,723.936,723.904,723.072,724.928,723.904,721.856,721.280,722.784,722.880,727.904,722.912,723.776,728.288,753.632,722.944,721.952,722.880,723.392,724.000,726.048,724.064,725.024,721.952,720.224,721.952,724.992,721.920,740.512,726.112,729.216,758.528,815.840,731.072,775.104,727.072,731.136,724.992,730.144,731.136,731.168,731.136,734.080,830.976,727.936,724.672,726.784,747.968,768.640,725.888,722.784,722.976,722.944,722.976,725.024,721.312,723.008,724.000,724.000,722.976,724.000,723.936,725.056,728.096,724.000,723.808,765.088,722.368,728.096,723.936,747.520,729.088,732.096,831.040,775.424,735.328,723.008,724.096,724.096,723.392,723.008,722.848,722.848,722.912,723.008,724.000,724.960,722.912,723.936,725.984,729.280,724.896,767.936,723.904,725.920,723.872,725.312,724.864,722.880,721.088,722.304,724.864,722.784,724.064,724.000,728.032,728.032,724.960,722.912,730.464,745.504,726.944,725.920,724.000,723.968,722.784,722.944,727.040,723.392,724.128,724.992,723.968,724.000,722.848,723.968,725.120,723.968,757.760,725.024,724.992,723.360,723.168,724.896,727.040,723.392,726.016,725.408,721.920,728.032,727.040,723.968,748.128,729.120,728.192,747.264,808.864,839.616,733.184,729.088,724.992,727.072,727.040,733.184,729.088,810.176,734.496,729.248,728.096,741.664,753.664,728.064,727.040,758.816,724.064,723.008,722.944,722.816,722.048,723.968,723.328,724.000,722.944,726.016,723.040
engram_wkv	4	25600	6144	32	64	128	400	48	1	None	pass	721.984	716.704	920.736	1.0000000000	0.00000000	721.984,718.912,725.056,718.016,722.048,720.832,721.280,722.048,721.344,720.064,718.944,735.648,732.512,719.840,716.768,718.848,722.080,719.200,719.936,721.088,719.200,721.984,720.992,727.168,720.992,722.976,723.072,720.928,720.352,758.080,718.976,719.936,716.704,720.992,721.984,719.872,719.936,719.968,722.016,721.280,717.920,720.000,719.936,722.016,727.040,720.000,718.848,757.952,721.408,723.008,720.896,723.104,720.896,720.032,721.056,718.912,724.096,719.040,719.136,720.032,720.960,720.032,718.016,722.016,727.136,737.376,718.112,720.224,721.024,718.240,721.024,724.032,721.056,721.056,721.056,721.088,719.968,720.832,722.048,771.136,762.144,771.648,920.736,723.008,737.440,748.160,726.112,741.728,827.168,830.528,730.176,728.160,730.144,722.272,724.992,845.856,727.904,723.680,741.440,774.944,720.512,768.064,719.968,721.088,722.048,720.000,720.896,723.488,719.264,723.104,723.840,721.024,720.512,718.880,720.384,722.016,718.976,721.024,721.920,748.768,723.072,725.088,724.096,722.080,721.184,722.112,721.408,720.032,723.072,766.112,726.208,760.768,811.552,777.856,727.232,728.160,770.528,730.432,832.320,735.264,726.208,775.968,746.880,725.152,721.952,720.032,721.056,720.064,722.048,768.096,726.048,744.928,829.920,863.136,724.064,732.576,726.176,728.256,728.416,876.672,726.080,726.080,761.952,734.912,719.040,721.056,720.064,718.176,718.016,722.112,751.008,720.320,721.056,722.016,720.320,722.528,720.992,722.016,720.064,721.824,719.936,721.088,722.112,722.080,723.104,719.040,723.040,719.040,762.976,720.064,724.160,720.064,719.456,718.272,721.920,719.872,717.984,718.848,720.896,720.672
engram_wkv	4	25600	6144	32	64	128	400	48	2	None	pass	721.760	716.032	884.640	0.9999958277	0.12500000	719.104,720.960,720.096,718.944,718.880,717.856,718.976,717.824,718.112,719.008,720.128,750.368,725.152,744.096,807.808,803.072,724.128,726.112,727.136,726.208,728.288,847.232,722.144,726.048,767.264,718.944,716.992,716.960,717.984,716.960,717.920,742.816,735.008,728.320,837.440,744.032,777.888,723.040,718.976,727.136,723.168,727.200,847.840,720.928,726.176,754.880,744.384,721.312,719.872,743.584,716.992,720.896,765.088,727.200,724.000,818.944,826.272,721.088,727.040,725.088,718.016,726.048,847.904,722.912,725.184,777.312,755.904,721.088,716.896,718.016,719.296,719.968,723.040,746.816,723.072,744.384,792.384,825.216,721.024,726.112,725.376,724.160,730.240,884.640,719.968,726.112,760.000,768.960,740.832,718.016,719.008,717.888,717.344,719.040,718.848,716.800,718.144,719.904,716.032,716.800,756.800,721.920,721.984,718.976,716.832,718.048,718.912,718.848,719.904,717.824,716.832,716.832,718.560,722.848,717.856,721.344,719.904,719.872,762.848,717.888,718.848,718.848,718.880,720.800,721.760,719.872,719.872,718.080,718.848,719.808,719.136,778.336,723.136,739.264,852.992,858.400,722.976,727.040,722.976,725.920,728.160,871.808,723.648,721.920,742.432,751.680,720.800,717.792,721.760,726.016,729.248,725.984,732.128,748.576,728.352,717.824,717.632,717.824,719.904,717.152,718.848,717.888,718.912,718.880,720.832,721.344,718.848,719.840,723.968,719.872,747.552,718.784,718.848,717.824,718.752,716.800,719.904,721.920,719.872,720.864,719.904,720.896,720.896,718.848,717.888,722.912,727.072,723.968,763.936,727.040,722.208,719.808,721.920,721.888,778.144,722.976,729.024,849.248,855.520,720.512
engram_wkv	4	25600	6144	32	64	128	400	48	4	None	pass	712.848	708.768	1055.904	0.9999938011	0.12500000	710.176,710.720,711.936,710.176,709.760,713.824,709.952,741.568,710.752,712.896,711.264,711.648,709.984,709.728,709.696,708.768,709.824,711.776,711.872,710.112,710.720,716.992,711.840,709.824,710.080,750.720,711.776,710.752,710.784,711.808,712.864,711.744,711.872,711.232,711.840,710.752,709.824,710.848,710.656,768.192,714.752,721.728,819.648,856.192,711.840,714.912,711.776,715.872,713.920,718.880,837.312,717.216,715.872,751.776,742.560,717.792,714.912,709.792,711.840,711.136,792.640,715.936,729.472,820.352,783.936,712.864,722.080,714.976,719.040,719.744,790.592,727.712,715.872,730.208,744.672,715.232,717.280,727.168,721.856,711.872,713.888,709.760,708.896,710.848,709.824,710.816,712.832,709.824,710.816,711.840,710.144,711.808,710.880,711.840,710.848,739.328,714.784,716.832,711.712,709.312,711.168,712.672,711.776,711.808,712.224,713.632,713.888,710.752,710.784,710.656,710.848,711.200,710.848,710.848,711.872,710.688,715.840,754.720,710.848,711.712,710.752,709.632,711.872,714.944,710.848,711.904,712.896,713.184,712.896,720.096,730.688,749.824,1055.904,727.328,760.832,724.608,751.776,716.800,715.904,861.440,781.216,753.952,716.864,721.024,716.960,715.968,858.720,717.888,713.856,735.456,737.472,727.104,728.384,710.880,710.848,710.688,712.096,712.736,711.904,709.824,710.784,712.800,711.008,711.232,711.808,711.680,710.816,713.632,712.864,730.080,721.024,710.848,714.912,712.000,710.912,712.864,760.416,718.976,742.336,775.104,802.784,713.344,721.248,715.872,714.912,723.040,794.400,751.072,712.896,738.496,739.520,720.064,710.848,712.800,711.712,708.768,712.704,713.728,711.712,708.768
engram_wkv	4	25600	6144	32	128	128	200	48	1	None	pass	724.032	720.064	871.072	1.0000000000	0.00000000	723.296,722.976,720.096,722.048,745.664,727.232,720.896,721.024,721.152,721.984,723.008,720.896,721.024,726.080,727.136,723.104,721.088,724.128,721.152,721.984,723.104,721.920,765.120,723.104,722.976,724.960,725.024,723.136,722.080,721.056,725.152,723.040,725.056,776.256,724.160,731.712,866.528,805.920,723.392,764.000,728.256,725.184,725.248,729.472,871.072,730.816,730.272,724.608,753.024,723.104,725.376,723.008,721.984,758.816,728.416,736.384,855.296,777.280,776.384,730.208,724.512,727.072,729.120,729.280,842.080,741.248,724.064,723.104,773.632,724.160,727.072,723.104,721.984,730.144,742.464,722.080,722.368,722.048,722.080,725.152,720.064,722.112,723.104,722.048,722.112,722.432,725.152,725.152,723.136,723.104,721.088,756.800,723.008,724.096,722.944,744.320,729.088,770.720,784.640,825.696,725.280,724.288,724.000,723.072,727.072,722.880,722.848,723.872,722.848,721.056,723.872,727.104,723.008,724.960,723.872,744.416,730.112,723.936,725.536,722.880,720.800,722.912,722.944,721.824,724.320,720.928,721.888,726.944,722.848,723.008,724.896,723.872,721.888,768.000,723.808,725.888,722.848,721.856,722.848,728.000,722.144,721.824,722.912,723.936,721.984,722.880,721.888,726.080,723.360,728.128,728.064,748.480,722.912,727.008,722.816,722.944,721.792,721.888,720.832,723.392,728.032,722.880,723.872,723.040,723.936,724.000,722.912,725.088,753.568,725.088,722.272,727.008,724.960,722.944,722.656,722.880,723.872,724.896,725.920,746.400,726.304,760.928,798.432,813.568,729.056,740.256,748.992,729.408,728.032,734.112,833.920,725.920,729.024,765.856,750.560,727.008,722.976,724.064,723.936,722.592
