# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
indexer_wq_b	4	4096	1280	16	64	128	64	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	16	128	128	32	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	32	64	128	64	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	32	128	128	32	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	64	64	128	64	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	64	128	128	32	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	128	64	128	64	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	128	128	128	32	48	4	None	not_divisible						
indexer_wq_b	4	4096	1280	16	64	128	64	48	1	None	pass	28.608	26.880	34.912	1.0000000000	0.00000000	28.960,28.736,28.672,27.648,26.880,28.672,28.672,27.712,28.800,28.672,27.744,28.768,28.768,27.744,34.912,27.712,28.672,28.640,28.704,27.744,28.768,27.744,28.640,28.832,27.744,26.944,27.744,27.744,28.768,27.712,27.744,28.704,27.744,27.712,27.040,27.744,28.736,27.744,27.744,28.736,27.648,28.672,27.648,27.168,28.800,27.744,27.904,29.088,28.736,27.744,27.072,28.672,27.072,28.768,27.680,27.808,27.808,28.608,27.712,27.712,28.768,28.768,28.608,27.744,27.520,27.712,28.800,28.704,27.776,28.768,27.648,28.736,27.072,27.712,27.008,27.072,27.168,27.744,27.136,27.744,27.744,28.768,27.648,28.768,27.776,28.768,27.680,27.136,27.136,27.744,28.736,27.072,27.744,28.768,27.648,28.576,28.608,28.672,28.672,28.416,28.736,27.072,28.704,27.072,28.736,27.648,28.704,28.736,28.672,28.704,28.704,28.640,28.704,28.640,28.704,27.616,28.672,28.608,30.720,29.600,28.512,27.680,26.976,28.640,28.672,28.768,27.744,28.640,27.744,29.504,29.664,28.576,28.672,28.672,28.640,28.608,28.512,27.680,27.616,28.640,27.648,27.616,28.640,27.936,28.672,28.736,28.704,27.648,28.960,28.672,28.672,27.616,28.704,27.712,29.664,28.000,27.776,28.576,29.696,28.480,28.672,28.672,28.704,28.032,27.648,27.680,28.672,27.872,28.672,28.512,28.640,27.968,29.728,28.672,27.744,28.672,28.704,28.672,28.704,28.640,28.672,29.664,28.672,28.704,30.720,30.656,30.656,27.680,28.672,27.776,28.064,27.616,28.672,28.704,27.648,27.648,28.672,27.648,28.672,28.288
indexer_wq_b	4	4096	1280	16	64	128	64	48	2	None	pass	28.704	27.584	36.864	0.9999960661	0.03125000	28.736,28.704,28.672,27.872,27.872,28.704,27.776,28.704,28.800,28.800,28.640,28.768,28.768,28.224,28.768,27.808,28.768,28.768,28.768,28.768,29.792,28.736,29.824,28.192,30.816,29.984,28.064,27.808,28.736,28.736,28.192,28.704,28.192,28.672,29.568,29.728,27.968,28.736,28.768,28.672,28.800,28.800,29.792,27.712,28.768,29.792,28.768,28.768,29.696,28.608,28.640,28.736,28.768,28.768,27.712,28.768,29.792,29.728,28.992,28.800,29.792,28.768,27.904,28.800,28.768,29.056,28.768,28.672,27.936,29.792,28.544,28.736,28.736,28.768,27.744,28.000,27.712,29.792,28.768,28.768,27.744,28.000,27.968,28.736,28.736,28.192,28.704,29.664,29.824,28.704,28.768,30.592,29.696,27.840,28.672,29.696,28.640,29.696,28.672,28.384,28.704,28.768,28.544,28.704,28.576,28.672,28.704,27.808,28.640,28.672,29.664,28.096,28.640,28.800,30.720,27.648,29.696,28.704,28.672,28.608,28.672,29.760,29.728,28.672,29.696,28.704,28.672,27.936,29.728,29.696,28.768,29.728,28.672,28.672,28.672,28.704,28.608,29.696,30.752,28.800,28.672,28.032,28.672,29.696,29.696,29.760,29.696,29.664,30.720,28.768,28.832,29.696,28.544,27.808,28.672,28.608,28.672,27.808,28.704,28.640,36.864,29.696,29.664,28.672,27.584,27.648,28.672,28.640,28.672,28.544,28.672,28.672,27.936,28.576,28.672,28.640,29.696,28.544,28.672,27.872,27.840,27.680,28.000,28.672,27.712,28.672,28.672,28.672,28.672,27.840,28.608,28.704,28.640,28.672,27.712,27.648,29.728,28.640,27.936,28.288
indexer_wq_b	4	4096	1280	16	128	128	32	48	1	None	pass	28.672	27.008	34.912	1.0000000000	0.00000000	27.808,28.704,27.136,28.672,27.712,28.736,27.680,27.008,27.648,28.704,28.576,28.672,28.672,27.648,28.672,28.672,27.744,28.640,28.672,28.512,34.912,28.672,28.640,27.584,28.672,29.664,27.712,28.672,28.672,27.648,28.576,27.904,28.704,27.072,27.584,28.672,28.672,27.648,27.616,29.696,28.896,28.672,28.672,27.072,28.672,27.648,28.672,27.680,28.672,28.672,28.672,27.040,27.648,28.640,28.672,27.648,28.640,28.672,27.040,28.672,27.648,28.672,28.864,28.640,27.648,27.680,28.672,28.672,28.672,27.712,27.680,28.704,28.672,28.672,27.680,27.648,27.680,28.704,28.704,28.672,28.672,28.672,28.576,28.576,27.072,28.672,28.672,28.512,27.616,27.616,28.672,28.672,28.672,28.672,28.672,28.512,28.704,27.648,28.704,28.448,27.744,28.640,28.640,27.712,28.704,28.704,27.680,27.680,28.704,28.704,28.704,27.648,28.672,28.672,29.728,27.072,28.768,28.704,28.672,28.672,27.712,28.576,27.648,28.736,28.768,27.648,28.704,27.616,27.584,28.672,28.512,27.648,27.968,28.672,27.008,27.616,28.768,28.608,27.552,27.552,28.672,29.664,30.720,28.672,28.576,27.104,28.704,28.704,27.648,27.616,27.616,28.672,28.704,28.608,28.672,27.616,27.680,28.608,27.072,28.672,27.680,27.744,28.640,28.672,28.672,28.672,27.648,27.616,27.648,28.672,28.672,27.008,28.672,28.672,28.704,27.040,28.544,28.704,27.584,28.704,28.704,27.104,28.704,28.672,28.672,27.680,28.608,27.616,27.808,28.672,28.704,27.616,28.704,28.704,28.704,28.672,28.672,29.504,27.648,27.424
