# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
shared_down	4	5120	768	16	64	128	80	48	4	None	not_divisible						
shared_down	4	5120	768	16	128	128	40	48	4	None	not_divisible						
shared_down	4	5120	768	32	64	128	80	48	4	None	not_divisible						
shared_down	4	5120	768	32	128	128	40	48	4	None	not_divisible						
shared_down	4	5120	768	64	64	128	80	48	4	None	not_divisible						
shared_down	4	5120	768	64	128	128	40	48	4	None	not_divisible						
shared_down	4	5120	768	128	64	128	80	48	4	None	not_divisible						
shared_down	4	5120	768	128	128	128	40	48	4	None	not_divisible						
shared_down	4	5120	768	16	64	128	80	48	1	None	pass	21.536	20.544	23.584	1.0000000000	0.00000000	21.088,20.896,20.992,20.768,20.896,20.832,20.864,20.704,21.504,20.864,20.672,21.024,22.624,21.024,20.800,22.464,21.600,20.864,20.928,22.464,21.568,22.496,22.624,22.496,21.600,21.600,21.632,20.832,21.600,21.504,20.992,22.496,21.568,22.624,22.624,20.768,20.864,21.568,20.928,20.864,20.896,22.016,21.600,21.536,20.672,20.736,20.768,20.896,22.464,21.600,20.800,22.624,20.992,21.472,21.632,21.568,22.624,21.664,21.568,21.376,21.600,22.496,20.992,22.624,22.496,21.536,23.552,22.624,22.496,21.600,21.600,20.800,20.928,22.496,21.600,22.624,21.632,21.600,20.768,22.624,21.600,21.536,20.864,22.624,21.568,20.992,20.864,21.504,21.600,20.800,22.528,20.960,20.832,20.960,22.464,21.472,21.536,20.544,20.768,21.280,21.088,20.896,22.464,22.560,22.368,22.592,22.528,20.864,20.832,20.992,22.528,21.504,22.464,21.536,21.568,22.560,21.472,22.528,21.568,21.568,22.400,20.736,22.624,20.928,23.584,23.520,21.600,22.496,20.864,20.832,22.592,20.928,20.864,20.736,20.864,21.024,21.600,20.704,21.504,20.864,20.928,22.496,21.600,22.624,21.024,22.368,21.568,20.768,22.592,21.568,20.992,20.960,20.960,20.960,20.928,22.592,20.864,22.624,21.408,20.960,22.592,21.696,20.928,22.624,20.864,20.896,20.800,22.624,21.568,22.592,22.624,22.592,22.592,21.600,21.600,20.864,20.896,20.864,21.024,21.408,20.768,21.568,22.592,20.736,20.928,20.960,21.632,21.568,22.624,21.536,20.928,21.408,22.400,23.552,23.552,20.832,21.504,20.832,21.472,20.544
shared_down	4	5120	768	16	64	128	80	48	2	None	pass	23.520	21.760	24.672	0.9999958277	0.03125000	23.744,23.584,22.592,22.688,23.520,23.872,24.608,22.560,22.560,22.432,22.592,23.648,22.816,23.584,22.592,23.648,23.648,23.488,23.648,22.624,22.592,23.520,22.624,23.616,22.688,22.528,22.080,23.648,22.624,23.584,23.680,23.648,22.624,22.496,23.648,23.648,22.880,22.592,22.624,23.648,22.688,22.528,22.944,23.680,23.616,23.552,23.616,22.496,23.616,23.552,23.424,23.680,22.624,22.592,22.560,23.584,22.464,23.616,22.528,23.680,23.648,23.648,22.528,22.848,22.592,23.648,22.560,23.616,23.584,23.616,22.528,23.616,23.648,24.672,23.776,23.616,23.616,22.752,23.552,22.624,22.816,22.528,23.552,23.584,23.648,23.648,23.552,22.752,22.560,24.640,23.616,23.648,23.648,23.648,23.456,22.560,23.584,23.584,22.528,22.272,22.752,23.584,22.592,22.592,23.520,22.560,22.624,22.432,22.592,23.552,22.496,23.520,22.528,23.520,22.432,23.520,23.552,23.616,22.496,23.584,23.552,23.584,23.328,23.584,24.608,23.424,22.592,23.520,23.552,21.760,22.592,22.592,23.520,23.648,23.552,23.552,22.720,23.584,23.520,23.520,23.552,23.424,23.584,23.552,23.520,23.584,22.560,23.520,23.520,23.584,22.528,23.520,23.584,22.528,23.520,23.584,23.584,23.520,22.528,23.584,22.560,21.888,23.584,21.984,22.528,22.560,22.528,23.584,23.584,23.520,23.584,23.520,23.584,23.584,22.528,23.488,21.888,23.584,23.584,23.328,23.552,22.528,22.528,23.520,22.528,23.520,23.584,23.520,22.432,23.520,23.584,22.528,23.616,24.576,24.448,22.528,23.584,23.424,22.528,23.328
shared_down	4	5120	768	16	128	128	40	48	1	None	pass	22.656	21.792	24.672	1.0000000000	0.00000000	23.552,23.552,23.552,23.616,23.584,22.560,23.680,22.016,21.792,23.488,23.616,23.520,22.624,22.592,22.624,23.456,23.648,23.648,22.624,23.488,23.552,21.984,22.560,23.520,22.560,22.592,22.624,23.616,23.520,22.624,22.624,23.520,22.624,23.552,22.592,23.552,23.520,22.656,22.496,24.672,23.520,22.624,22.624,23.648,22.496,22.624,22.624,22.592,23.520,23.616,23.648,23.776,23.520,22.592,22.624,22.528,23.520,22.624,22.624,23.648,23.520,23.648,22.624,22.592,22.560,22.624,22.624,22.464,23.520,24.672,24.672,23.680,23.648,22.624,22.592,22.624,23.616,23.648,23.616,23.616,22.432,22.656,22.624,23.680,23.648,23.616,22.624,22.592,23.616,22.624,23.680,23.648,23.648,22.592,23.584,23.552,22.528,22.560,22.528,22.272,22.624,23.648,23.616,23.584,22.560,22.560,23.552,23.552,23.520,22.560,22.720,22.464,22.528,22.784,22.624,22.528,23.648,23.648,23.648,22.592,22.624,22.528,22.624,23.584,22.560,24.608,23.744,23.680,22.592,23.648,22.592,22.624,22.656,23.680,22.560,23.616,22.624,23.584,23.616,22.624,22.688,22.528,23.616,22.528,22.560,22.656,22.624,22.592,22.592,23.552,22.592,22.624,22.656,22.464,23.648,23.648,22.592,22.624,22.656,23.616,22.624,22.624,23.616,23.648,22.624,22.624,22.592,23.648,23.488,23.648,22.592,22.592,22.624,22.560,23.616,23.584,22.592,23.616,22.624,23.648,22.624,22.560,23.584,23.584,22.624,22.624,22.528,22.656,23.584,23.648,22.528,22.624,22.528,23.552,23.616,24.672,23.584,23.520,23.584,22.304
shared_down	4	5120	768	16	128	128	40	48	2	None	pass	23.584	21.984	25.536	0.9999958277	0.03125000	24.704,22.560,23.424,22.560,22.560,23.584,23.616,23.520,23.648,23.648,23.648,23.648,23.648,23.648,23.584,23.648,23.488,23.648,23.648,23.648,23.648,23.552,23.616,23.616,23.648,23.584,22.592,24.672,22.592,23.616,23.616,23.648,23.616,23.616,22.592,23.648,23.648,23.616,22.048,23.616,23.648,23.584,23.648,23.648,23.648,23.616,23.648,23.648,22.624,23.648,23.328,23.648,22.624,23.648,22.592,23.648,23.616,23.616,22.528,23.648,23.584,23.552,23.552,24.032,24.672,23.808,23.552,23.616,23.648,23.648,23.552,23.616,24.576,23.616,23.648,23.648,23.648,23.648,23.648,23.584,23.648,23.648,23.648,23.648,23.552,23.648,23.648,23.648,21.984,23.648,23.648,23.648,23.616,23.648,23.552,23.552,23.584,23.552,23.584,23.296,23.680,23.552,23.552,23.584,23.520,23.584,23.584,23.552,23.584,23.552,23.488,23.520,23.584,23.552,23.456,23.520,23.456,22.528,23.520,23.520,23.392,23.520,23.488,23.488,23.584,25.536,24.576,23.328,23.520,23.520,23.520,23.488,23.584,23.520,23.488,23.520,23.584,23.584,23.488,23.552,23.584,23.584,23.552,23.584,23.552,23.520,22.528,23.488,23.520,23.520,23.488,23.552,21.984,23.648,23.520,23.488,23.488,23.520,23.520,23.520,23.488,23.520,23.584,23.520,23.488,21.984,23.520,23.520,23.520,22.752,23.584,23.520,23.584,23.584,23.584,23.488,23.424,23.584,23.520,23.488,23.584,22.528,23.520,23.552,23.520,23.584,23.552,23.520,23.360,23.584,24.608,23.360,23.552,24.576,24.480,24.608,23.392,23.584,23.584,23.328
