# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
shared_gate_up	4	1536	5120	16	64	128	24	48	1	None	pass	40.896	39.104	44.160	1.0000000000	0.00000000	41.184,40.928,40.992,40.960,41.024,41.088,39.360,40.992,39.232,39.840,39.904,40.960,40.896,39.872,40.960,40.960,40.960,40.960,41.056,40.992,43.008,43.200,40.768,40.992,40.896,40.896,40.864,40.864,40.992,40.896,40.992,40.960,41.888,40.960,40.960,40.960,40.032,40.960,40.960,40.960,40.960,40.960,39.392,39.936,40.960,41.984,39.328,39.776,39.936,39.904,40.800,40.960,39.968,39.840,39.872,40.960,39.968,40.896,39.936,39.936,39.936,39.840,39.168,40.928,40.960,39.936,39.968,40.000,40.960,39.904,39.776,39.808,40.960,40.960,39.936,40.960,39.936,39.840,39.872,39.936,39.968,39.936,39.936,43.008,43.008,42.112,39.776,39.936,39.776,39.968,39.936,39.904,39.936,41.984,40.864,39.936,39.968,40.960,39.936,41.760,41.184,40.064,40.928,39.104,40.992,40.992,41.088,44.160,43.040,40.960,39.840,40.960,39.840,40.832,40.832,40.992,39.872,39.936,40.960,40.960,40.896,39.392,40.960,40.960,40.960,40.928,39.936,39.232,39.936,39.776,40.960,39.264,40.960,39.168,40.960,39.232,40.960,40.960,40.960,39.936,39.936,40.832,39.232,39.712,40.960,39.296,41.056,39.936,40.960,41.984,40.960,40.960,39.904,40.864,39.328,39.936,40.960,39.936,39.936,40.896,39.936,39.904,39.904,40.960,40.960,40.960,39.936,40.960,39.936,40.992,40.928,43.008,42.016,39.232,40.960,39.872,39.904,39.328,40.960,40.928,40.960,39.872,40.960,40.960,40.928,39.136,39.936,39.936,40.928,40.960,40.960,40.992,41.312,39.936,39.296,40.960,40.896,39.200,40.960,39.712
shared_gate_up	4	1536	5120	16	64	128	24	48	2	None	pass	40.928	39.712	46.112	0.9999960661	0.12500000	41.024,39.968,40.992,42.368,42.944,40.992,40.032,40.896,40.832,40.960,43.008,40.992,40.928,39.936,39.936,40.960,39.712,40.960,40.096,40.928,40.000,40.960,39.904,40.896,39.936,40.192,39.936,40.928,39.968,39.936,40.960,40.928,39.936,40.320,40.960,40.928,40.992,39.968,39.936,39.872,40.384,40.960,40.928,39.968,40.960,40.960,40.800,39.904,40.960,39.968,40.928,39.872,40.032,39.968,40.800,40.960,39.968,39.904,40.928,46.112,39.936,40.960,40.928,40.960,40.960,40.960,39.840,44.096,43.008,40.896,41.088,40.960,40.960,39.936,39.840,40.960,40.960,39.936,39.968,40.960,41.440,39.936,39.968,39.936,39.936,40.000,39.936,39.936,39.968,39.936,40.960,39.936,39.936,39.904,40.960,39.936,40.128,39.968,39.936,39.712,40.224,41.024,41.024,41.056,39.968,40.960,41.056,40.992,41.024,41.056,40.032,40.128,40.064,40.768,40.032,41.056,40.928,40.992,39.936,43.040,43.104,41.056,41.024,40.896,40.032,40.000,39.936,41.056,40.000,40.960,40.000,41.056,40.960,40.000,40.800,41.024,40.000,40.928,40.032,41.024,40.960,41.056,41.024,41.056,40.960,40.032,40.000,40.032,41.056,40.960,40.032,40.000,40.960,39.968,40.032,41.024,39.968,41.024,40.000,40.960,41.056,40.032,40.032,40.960,40.000,41.024,40.000,41.056,40.000,40.000,40.000,40.960,41.056,41.024,41.024,40.960,41.024,40.992,40.960,41.024,40.960,41.088,40.960,43.040,43.040,41.024,40.992,40.960,40.128,40.000,41.120,40.384,40.960,40.128,40.800,39.904,40.960,39.936,40.928,40.736
shared_gate_up	4	1536	5120	16	64	128	24	48	4	None	pass	39.968	39.680	44.032	0.9999937415	0.12500000	40.832,39.968,42.976,40.992,40.928,41.024,41.056,40.864,39.968,39.904,39.936,40.960,39.968,40.960,39.936,40.960,40.032,39.744,40.960,41.056,39.904,39.904,39.904,39.936,40.512,39.936,39.904,39.936,40.000,39.936,39.936,39.936,40.960,39.936,39.936,42.176,43.008,43.008,42.016,39.904,39.968,39.936,40.064,40.832,41.024,39.936,39.936,39.776,39.936,40.960,39.936,39.936,39.872,39.936,40.992,39.936,40.960,41.984,40.960,40.064,39.904,39.936,40.960,39.936,39.936,39.936,39.936,40.960,39.936,39.936,39.968,39.936,39.936,39.936,39.936,39.936,40.960,40.960,39.936,43.008,39.936,40.960,39.936,39.936,39.936,40.960,40.032,40.768,40.000,40.960,39.936,39.904,39.936,40.960,39.904,40.960,39.936,40.960,39.936,41.760,41.056,40.000,40.128,42.016,39.968,40.352,42.016,39.936,40.960,39.936,40.960,40.896,40.128,40.960,39.936,40.896,40.960,40.960,39.936,40.896,39.936,39.872,40.928,39.936,40.960,39.936,39.904,40.960,39.968,39.936,40.896,44.032,42.400,39.936,40.896,40.960,39.936,39.936,40.896,40.032,40.992,40.928,40.896,39.744,39.904,40.896,39.968,39.936,39.968,40.896,39.936,39.936,39.936,39.680,39.904,39.936,40.960,40.000,40.896,40.032,39.936,39.936,39.840,39.936,39.936,40.896,39.936,39.744,39.936,40.928,39.936,39.936,40.896,39.840,39.872,41.024,40.064,40.960,40.000,39.904,40.896,40.000,39.936,39.968,40.960,40.928,39.936,40.032,40.896,40.960,40.960,39.936,39.840,39.904,40.960,43.968,43.008,39.968,40.256,40.736
shared_gate_up	4	1536	5120	16	128	128	12	48	1	None	pass	40.960	39.808	68.032	1.0000000000	0.00000000	41.024,41.056,40.832,53.312,41.088,68.032,41.024,40.864,56.288,41.056,40.704,40.000,40.960,41.984,43.104,43.040,40.960,41.984,39.872,40.960,40.960,40.832,39.936,40.320,40.960,40.928,40.960,41.984,39.968,40.800,39.936,40.096,40.960,40.928,39.968,41.952,40.288,40.896,40.960,41.984,40.864,40.896,40.384,40.224,40.960,41.888,41.984,41.984,40.928,41.024,41.984,40.960,40.928,40.960,40.896,40.960,40.896,40.160,40.160,40.960,40.864,39.936,40.160,39.936,40.960,40.896,40.832,41.984,40.064,40.192,40.096,41.984,39.808,40.928,40.192,40.928,40.160,40.960,44.032,43.008,40.064,40.192,40.960,39.936,39.904,57.536,40.992,44.992,41.312,56.864,42.720,43.808,41.472,40.256,40.224,41.920,44.992,41.248,40.064,39.936,40.928,41.024,40.992,40.928,40.928,43.072,40.800,42.048,40.992,40.960,40.032,41.056,40.256,40.928,40.160,40.096,40.320,40.992,40.960,41.984,39.936,41.984,40.928,40.096,39.904,40.960,41.920,41.984,41.408,40.256,40.960,40.960,40.960,40.960,40.032,40.032,41.056,40.000,41.024,40.352,40.160,41.984,43.968,42.592,40.960,40.352,40.000,41.056,42.080,41.152,41.056,41.024,40.896,40.032,41.088,41.920,41.024,40.960,42.048,40.288,41.120,40.000,41.088,40.256,40.160,40.160,42.048,40.384,41.024,40.000,40.128,41.024,41.056,40.000,40.384,41.056,40.000,41.024,42.048,40.512,41.056,40.928,42.048,40.032,41.024,41.024,40.384,41.984,40.032,42.080,40.000,40.224,40.288,40.032,40.960,39.904,40.896,40.224,40.832,41.760
shared_gate_up	4	1536	5120	16	128	128	12	48	2	None	pass	41.024	40.736	45.056	0.9999960661	0.12500000	41.152,41.024,41.056,40.992,41.024,40.992,40.992,41.024,40.896,40.896,40.960,41.984,42.048,40.896,40.960,40.960,41.984,40.896,40.960,41.888,43.104,40.864,40.960,40.960,40.896,42.848,40.960,41.984,40.928,42.080,41.984,41.984,40.896,41.984,40.960,42.016,40.896,42.144,40.960,41.984,40.896,40.960,41.984,41.952,41.024,41.088,41.984,40.928,40.960,40.960,40.992,40.928,40.960,40.960,40.960,40.896,40.864,42.016,42.016,40.960,44.032,45.056,44.032,41.888,40.960,40.960,40.928,40.960,41.984,41.984,40.928,40.960,40.960,40.960,42.080,41.888,41.952,42.016,40.928,41.248,40.960,42.080,40.896,41.984,40.960,41.952,44.096,40.960,40.960,40.896,40.960,40.960,40.960,40.928,40.960,40.960,41.984,40.896,40.960,40.736,41.088,41.056,41.056,40.992,40.992,40.960,40.960,40.928,41.184,41.024,40.928,41.024,42.080,42.048,40.864,41.984,41.056,42.080,40.960,41.984,42.080,40.800,42.048,41.984,42.112,40.832,42.080,40.896,41.056,40.928,41.056,40.992,41.056,40.832,40.992,41.056,41.024,40.928,40.960,42.080,42.080,42.016,42.080,42.048,40.896,41.248,42.048,42.048,40.928,41.024,42.240,42.080,40.896,41.984,43.200,43.456,40.896,40.960,42.080,41.024,40.960,41.024,42.112,40.896,41.088,40.928,42.080,40.928,42.080,40.992,42.080,40.928,41.024,42.080,42.016,42.080,40.832,41.056,41.056,41.856,42.016,42.048,42.080,40.960,41.888,41.024,40.928,40.960,41.024,41.088,40.928,41.952,41.856,41.056,40.864,41.120,40.960,40.960,40.896,40.736
shared_gate_up	4	1536	5120	16	128	128	12	48	4	None	pass	41.824	40.192	47.104	0.9999937415	0.12500000	41.184,42.016,41.056,42.048,40.992,41.024,42.048,40.992,40.960,41.824,41.920,40.928,41.984,41.856,41.824,41.856,40.960,41.984,40.960,40.928,41.024,41.984,41.984,41.952,41.984,41.984,40.960,41.952,42.016,40.992,41.984,40.864,41.888,41.984,41.952,41.984,41.984,41.984,41.952,40.960,40.960,40.384,40.896,41.984,40.384,40.928,44.000,45.056,41.984,40.960,41.856,42.016,40.960,40.928,40.960,40.960,41.984,40.928,41.984,41.984,40.960,40.896,41.984,40.960,41.984,40.896,40.960,42.016,42.016,41.952,40.960,40.960,42.144,40.832,40.928,41.984,41.952,40.960,41.952,40.960,40.320,41.856,40.960,40.960,40.928,40.960,41.856,41.984,40.960,41.728,47.104,40.960,41.984,41.984,40.192,42.016,41.984,40.960,40.960,41.760,41.248,41.984,41.024,43.200,44.160,41.984,41.792,41.984,42.048,41.952,42.016,40.960,41.056,40.960,41.984,40.960,41.760,40.992,41.984,40.960,40.992,41.984,40.352,40.960,41.984,40.960,41.888,41.024,40.960,42.016,40.960,40.960,40.960,41.312,41.984,40.960,41.984,40.960,40.960,40.992,40.960,41.984,40.384,41.984,41.984,40.960,40.960,41.824,41.984,40.960,40.960,41.984,41.984,41.984,41.984,41.984,40.960,40.800,41.984,40.960,40.992,41.984,40.960,42.016,41.984,41.984,42.048,44.032,44.000,42.016,41.952,41.984,41.984,41.984,41.984,40.960,41.120,40.992,41.920,40.960,41.824,40.960,40.352,41.984,40.384,40.960,40.960,40.800,42.176,40.960,41.984,41.984,41.984,41.984,41.984,41.984,41.984,40.960,40.928,41.760
shared_gate_up	4	1536	5120	32	64	128	24	48	1	None	pass	40.928	39.648	44.160	1.0000000000	0.00000000	43.232,43.040,40.960,40.992,40.992,40.992,40.960,41.024,40.960,39.840,39.936,40.960,40.896,40.960,40.960,40.960,40.832,39.968,39.936,41.024,40.928,40.000,40.960,40.960,40.928,40.000,39.936,39.936,40.928,40.064,39.936,39.936,39.872,40.032,40.960,40.896,40.896,39.872,39.936,40.928,39.904,41.248,39.936,40.928,40.960,39.904,40.960,40.928,40.960,40.864,40.928,40.928,40.960,39.936,40.960,40.896,39.936,39.936,41.024,39.872,40.288,40.960,40.896,40.960,42.912,44.096,40.928,39.936,39.936,39.776,40.928,40.288,40.960,40.960,40.928,39.936,39.936,39.936,40.096,40.032,40.032,40.032,41.952,39.968,40.000,40.928,40.128,42.080,40.352,40.928,40.224,39.936,41.056,40.896,39.936,40.992,40.960,39.936,40.928,39.648,40.928,40.960,39.968,40.960,41.024,40.960,41.024,40.928,41.056,40.000,41.056,40.960,40.928,40.032,40.000,39.936,40.960,40.928,44.032,44.160,40.928,41.056,39.904,40.032,40.064,40.000,40.960,41.984,41.088,40.192,40.000,41.056,41.024,40.960,40.960,39.968,40.800,40.992,40.768,40.128,41.056,40.960,40.224,42.080,40.032,40.992,40.960,41.984,39.968,41.984,40.864,40.992,41.056,40.032,40.032,40.032,41.056,40.896,41.024,40.960,41.056,40.032,40.032,40.928,41.024,40.000,39.968,40.832,41.056,40.000,41.024,41.056,41.056,40.032,41.024,40.032,41.024,40.032,41.024,41.056,39.936,40.960,44.032,43.072,41.024,40.960,40.960,41.056,40.992,40.064,40.384,40.000,41.088,39.904,40.960,39.968,39.936,39.936,40.960,39.712
shared_gate_up	4	1536	5120	32	64	128	24	48	2	None	pass	40.752	39.680	44.032	0.9999960661	0.12500000	41.184,40.992,41.024,39.968,40.992,40.864,41.024,43.008,42.592,41.056,40.096,40.000,40.448,41.056,40.896,40.480,41.056,40.160,40.928,39.968,40.128,40.960,40.064,41.152,40.896,40.032,39.904,41.056,40.000,40.928,40.192,41.056,40.096,40.032,40.192,39.968,41.024,40.000,39.904,41.056,41.088,40.960,40.064,41.024,39.936,40.832,40.864,41.024,40.096,39.968,40.192,40.000,40.384,40.000,40.000,41.056,39.968,40.000,40.032,40.032,43.072,41.056,41.024,41.024,40.000,40.160,39.968,41.056,41.056,41.056,39.872,44.000,43.104,40.000,40.032,40.256,41.056,40.032,41.056,40.032,40.064,39.904,40.096,39.968,40.064,41.056,40.032,40.064,40.128,41.024,40.000,41.024,40.128,41.056,40.960,39.936,40.096,40.960,40.960,39.680,41.216,40.992,41.056,40.992,40.960,40.992,41.024,40.992,40.960,39.936,39.968,39.936,40.736,40.992,41.984,39.904,40.928,40.960,40.960,40.960,40.064,40.992,40.768,40.896,39.936,40.960,39.744,40.896,39.936,40.928,44.032,42.944,42.240,39.936,40.000,40.704,40.064,40.960,39.936,40.928,40.800,39.936,41.344,40.896,40.960,40.960,40.896,40.960,39.968,40.960,40.896,40.960,41.088,39.936,40.896,40.832,39.936,39.936,40.928,40.832,40.960,39.968,40.896,39.936,40.000,39.968,39.840,40.032,39.904,40.928,39.936,40.064,39.936,40.928,40.960,40.000,40.032,40.128,40.096,40.032,40.288,40.960,40.064,39.968,39.936,39.936,40.960,39.936,40.960,39.904,41.056,39.936,39.968,39.904,43.008,44.032,40.960,40.896,39.904,40.736
shared_gate_up	4	1536	5120	32	64	128	24	48	4	None	pass	40.144	39.840	44.128	0.9999937415	0.12500000	40.832,40.992,40.000,41.056,40.992,40.224,39.968,41.088,40.032,40.032,40.032,40.000,40.032,40.128,40.032,40.000,41.056,41.056,40.032,41.056,40.000,40.000,41.024,41.056,40.032,41.056,40.000,40.352,39.936,39.840,41.056,41.984,41.056,40.000,40.032,39.936,41.024,39.936,41.056,40.000,42.080,40.000,41.056,42.080,40.192,40.928,40.960,42.176,43.328,40.000,40.032,41.088,40.032,40.160,39.904,40.000,41.088,41.056,39.968,40.000,40.256,41.056,41.056,40.000,40.928,41.024,41.088,41.120,40.032,41.056,40.032,40.032,40.416,41.056,40.000,39.936,41.280,39.936,41.056,41.056,40.256,41.024,41.024,40.000,40.000,40.000,41.184,40.000,41.056,41.024,41.056,40.032,41.216,39.968,40.960,40.960,39.904,40.960,40.960,40.736,40.000,39.968,40.000,39.968,40.928,40.992,39.840,39.968,41.088,39.872,40.992,41.024,40.064,41.056,40.480,40.032,40.032,40.032,40.000,41.056,41.056,39.936,40.032,41.056,40.992,40.032,40.032,41.024,40.032,40.096,40.064,41.056,40.000,40.000,40.032,40.256,41.056,40.704,40.992,40.000,42.080,42.368,43.104,44.128,40.032,41.056,40.416,40.032,40.064,41.056,41.024,39.936,41.024,40.032,41.056,40.192,40.032,40.064,40.128,40.000,40.960,41.024,40.960,40.000,40.000,41.056,41.056,40.000,39.904,40.032,40.032,40.192,40.992,40.000,40.128,39.872,40.000,40.032,40.032,39.968,39.968,41.056,39.936,40.256,40.032,40.032,41.056,40.064,40.096,40.032,40.064,40.160,42.080,41.056,39.936,39.936,39.936,40.992,41.984,40.704
shared_gate_up	4	1536	5120	32	128	128	12	48	1	None	pass	41.024	39.936	50.688	1.0000000000	0.00000000	41.248,41.056,41.024,41.056,40.832,40.992,40.992,40.992,41.056,40.384,42.016,40.320,42.048,40.896,42.048,42.048,40.992,43.072,42.080,41.984,41.056,41.056,42.048,42.048,42.048,44.096,44.064,41.024,40.896,42.048,42.080,41.056,40.960,42.080,41.120,40.416,41.056,42.080,41.056,40.960,42.080,41.056,42.080,40.352,41.024,42.048,41.056,40.416,42.080,40.960,41.088,41.984,42.016,42.112,41.024,40.032,42.048,42.048,41.024,41.952,41.024,42.080,40.000,41.024,42.080,42.080,40.192,42.048,40.992,41.024,42.080,42.080,42.080,41.056,42.080,41.056,41.024,42.080,42.048,40.288,41.024,41.184,41.024,42.080,40.960,40.384,41.120,40.960,43.040,43.072,45.152,41.024,42.048,41.056,39.936,41.792,40.192,41.984,40.960,41.760,41.024,40.960,40.992,40.992,41.056,40.992,41.024,40.288,40.032,40.096,40.960,40.224,42.016,40.960,40.128,50.688,42.080,40.864,41.984,40.992,41.984,40.960,40.736,41.984,40.960,40.960,42.944,40.928,40.992,41.984,41.984,41.952,40.960,40.960,40.896,40.960,40.928,40.960,40.928,40.864,40.896,40.960,41.984,41.952,43.008,40.960,40.960,40.992,40.960,40.128,40.960,40.960,40.960,44.032,43.040,41.920,40.960,40.960,40.800,40.960,40.832,41.792,41.984,40.960,40.960,42.048,40.960,41.792,40.064,40.960,40.960,41.984,40.928,41.984,40.960,41.984,42.016,40.864,40.800,40.320,40.960,40.960,40.960,40.960,40.960,41.984,40.992,40.992,40.960,40.960,40.960,41.984,40.960,41.984,40.960,41.984,41.824,40.960,40.992,41.760
