# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
wq_b	4	12288	1280	16	64	128	192	48	4	None	not_divisible						
wq_b	4	12288	1280	16	128	128	96	48	4	None	not_divisible						
wq_b	4	12288	1280	32	64	128	192	48	4	None	not_divisible						
wq_b	4	12288	1280	32	128	128	96	48	4	None	not_divisible						
wq_b	4	12288	1280	64	64	128	192	48	4	None	not_divisible						
wq_b	4	12288	1280	64	128	128	96	48	4	None	not_divisible						
wq_b	4	12288	1280	128	64	128	192	48	4	None	not_divisible						
wq_b	4	12288	1280	128	128	128	96	48	4	None	not_divisible						
wq_b	4	12288	1280	16	64	128	192	48	1	None	pass	73.696	72.480	82.752	0.9999999404	0.00000000	74.912,72.768,72.992,73.792,75.904,74.752,74.784,73.824,79.872,78.880,72.960,72.672,73.728,72.736,73.696,73.728,73.728,72.768,72.832,72.736,73.728,72.704,75.776,72.704,72.672,72.832,74.784,72.800,72.704,72.576,73.728,72.704,73.760,73.728,72.864,72.704,72.672,72.736,73.728,72.768,73.760,73.728,72.960,73.760,74.752,72.736,72.704,72.672,72.736,73.728,73.728,72.704,72.864,72.672,73.600,72.672,72.640,73.728,73.696,72.672,72.704,74.688,73.696,72.736,78.848,77.952,72.768,72.736,72.736,73.728,73.728,74.688,78.816,72.672,72.736,72.704,72.608,72.736,72.608,74.784,73.728,73.728,72.736,72.736,72.768,73.728,73.728,73.728,72.672,72.704,74.752,73.632,74.784,72.704,72.736,72.576,72.704,72.736,72.736,72.480,73.984,72.800,72.704,72.864,72.864,73.760,72.864,72.608,74.656,74.816,73.184,82.752,73.792,73.824,73.824,73.024,73.824,72.800,72.672,73.824,73.792,72.704,72.768,72.800,73.824,73.632,72.672,73.632,73.728,72.960,72.768,73.728,72.832,73.824,73.824,74.656,73.824,72.800,73.728,73.792,73.824,73.824,72.832,73.824,72.960,73.824,72.992,74.784,73.856,72.768,78.016,77.856,73.824,72.768,73.824,73.792,72.768,72.832,72.640,72.864,74.848,73.824,75.840,73.824,73.696,73.792,73.760,72.928,73.056,73.696,72.768,73.792,73.728,73.824,73.152,73.824,73.728,72.768,74.880,74.752,73.824,73.792,74.944,72.800,72.704,74.848,74.816,73.024,73.856,73.792,73.824,73.024,74.752,73.792,72.736,73.728,73.728,72.672,72.704,73.472
wq_b	4	12288	1280	16	64	128	192	48	2	None	pass	73.696	71.872	252.000	0.9999958873	0.03125000	99.744,73.728,95.712,81.248,75.680,252.000,74.560,73.216,74.816,73.696,73.856,73.664,73.728,73.152,73.696,72.928,79.712,73.728,73.024,73.728,72.608,72.736,73.664,72.992,72.800,74.752,73.760,72.832,72.896,73.728,72.960,72.640,72.640,74.784,73.120,73.728,73.632,73.856,73.120,72.736,73.792,74.784,73.728,72.672,73.728,73.120,72.704,74.784,73.664,74.720,73.728,73.024,80.896,80.992,73.792,72.736,73.696,72.672,72.736,72.672,72.704,73.728,74.784,72.928,72.704,73.728,72.608,72.800,72.704,72.672,73.760,73.728,73.120,73.152,73.696,73.088,73.600,73.024,74.688,72.896,73.792,73.728,72.768,72.672,73.728,72.832,73.024,73.696,73.120,74.720,72.800,73.152,75.808,73.728,74.688,73.728,72.896,73.728,73.056,72.480,73.824,73.792,73.088,73.120,73.696,73.120,73.056,72.928,72.800,74.720,72.704,73.728,78.912,74.720,73.024,72.896,72.736,73.728,73.728,72.800,74.656,72.864,74.880,72.704,73.728,73.728,73.728,73.728,73.728,73.824,74.944,72.672,73.792,73.728,72.736,73.728,74.880,72.736,73.728,73.792,72.672,75.680,72.736,73.728,72.736,73.056,72.928,73.696,72.928,73.792,73.024,78.848,78.880,73.728,73.728,73.728,73.024,73.728,74.592,73.856,73.088,72.672,72.704,73.824,73.056,73.728,73.824,72.704,73.728,73.728,74.720,72.736,72.736,73.728,74.784,73.664,73.792,74.592,73.664,73.728,72.896,72.704,73.728,72.992,72.672,73.728,73.152,73.824,72.736,72.672,73.792,73.728,72.672,72.992,72.736,72.864,73.728,73.728,73.728,71.872
wq_b	4	12288	1280	16	128	128	96	48	1	None	pass	74.816	73.536	79.936	0.9999999404	0.00000000	76.864,75.840,74.880,75.808,75.840,73.824,74.816,74.880,73.760,74.848,74.016,74.848,78.848,79.936,75.872,74.016,73.920,73.824,73.984,74.848,74.816,74.816,74.144,73.824,74.784,75.744,73.856,74.016,74.784,74.048,74.912,74.848,74.688,74.848,75.648,74.784,75.200,74.752,74.848,74.848,74.752,74.848,74.848,75.776,74.848,75.776,76.768,75.776,73.824,74.784,74.688,74.112,74.720,75.776,75.104,74.112,74.880,73.792,75.840,74.304,74.848,75.840,74.816,73.856,73.792,73.824,74.784,74.080,75.808,79.072,78.368,74.848,74.816,73.792,74.848,73.824,74.848,73.856,74.848,74.880,74.016,73.984,74.176,74.848,74.848,73.824,74.880,74.048,74.880,74.848,74.816,74.848,75.872,74.880,74.016,73.696,74.624,73.888,73.728,74.528,74.816,74.784,76.864,75.840,75.744,73.760,76.864,74.848,75.904,74.752,76.800,74.880,74.112,74.656,73.888,74.848,74.080,73.888,74.848,74.720,74.752,74.848,74.816,74.656,74.816,74.816,73.824,74.048,74.816,73.888,73.888,74.752,74.016,74.880,74.816,73.952,74.240,73.888,74.848,74.944,73.920,74.080,75.872,74.816,73.888,74.144,74.816,74.816,73.760,74.848,73.888,79.936,79.360,74.848,74.048,74.208,74.848,73.760,74.752,73.888,74.816,76.800,73.856,74.688,73.792,73.856,74.112,74.848,74.176,74.688,74.080,74.048,75.904,73.760,74.816,74.848,75.872,75.744,74.848,73.664,75.776,74.816,75.872,74.848,74.720,74.848,74.816,74.880,74.848,73.728,73.824,73.952,74.784,75.872,74.720,74.752,74.016,74.080,74.112,73.536
wq_b	4	12288	1280	16	128	128	96	48	2	None	pass	74.720	72.864	79.936	0.9999958873	0.03125000	74.912,74.624,73.760,73.760,74.720,73.760,78.880,79.936,74.848,74.720,74.880,74.816,75.616,74.816,75.872,74.848,74.720,73.760,75.872,73.664,74.720,73.888,75.776,74.752,73.984,73.600,74.624,74.848,73.824,73.696,76.672,73.824,74.752,73.568,73.824,74.848,74.720,73.664,74.848,73.760,74.816,75.008,74.784,73.696,74.848,74.848,74.688,73.792,73.824,74.880,74.784,76.896,74.880,74.720,74.848,74.816,74.720,74.848,74.880,74.816,73.664,73.856,79.840,79.840,73.984,74.848,74.816,74.848,74.848,73.824,74.144,74.816,73.824,73.824,74.848,74.848,75.840,74.816,76.864,76.864,74.848,73.824,73.920,74.784,74.848,74.112,74.848,74.848,74.752,73.824,74.848,73.792,74.624,73.792,73.152,74.752,74.720,74.752,74.720,74.528,74.080,74.784,75.712,74.592,75.808,73.856,73.760,74.880,74.784,74.784,74.816,73.760,75.776,73.920,73.824,74.720,74.784,74.656,76.736,74.720,74.720,74.784,74.752,74.656,74.656,74.784,74.752,74.720,74.688,73.792,74.784,74.720,73.824,75.776,74.720,74.720,73.728,72.864,73.728,74.048,73.632,73.728,74.528,73.728,74.784,75.680,73.728,73.632,73.728,75.776,74.720,79.072,79.200,73.152,74.720,73.792,74.752,73.728,74.528,73.632,73.824,74.784,74.784,74.656,74.720,74.080,73.152,74.720,73.632,73.728,73.728,76.800,75.776,73.728,74.816,75.776,74.720,74.720,73.984,74.656,79.872,73.984,73.728,74.208,73.696,74.784,74.848,74.720,73.600,74.784,74.720,74.784,73.728,74.720,74.720,73.728,74.720,73.760,74.720,73.472
wq_b	4	12288	1280	32	64	128	192	48	1	None	pass	73.792	72.640	157.152	0.9999999404	0.00000000	73.056,74.784,73.056,73.088,73.760,72.768,73.760,73.888,72.768,73.056,75.872,72.992,73.824,73.792,72.832,72.736,73.824,73.824,75.840,73.824,75.904,74.848,73.824,73.056,73.824,73.728,73.632,72.768,74.848,72.864,72.832,73.824,72.800,72.896,78.976,78.976,73.696,75.872,73.792,73.088,73.792,72.800,73.728,73.760,73.824,74.848,72.864,73.792,73.824,72.768,73.056,73.024,74.752,73.920,72.832,73.184,72.928,72.864,73.824,75.872,72.768,73.824,73.088,73.760,74.848,73.824,74.656,73.792,73.824,73.216,72.896,73.024,72.960,74.848,72.768,72.768,73.824,73.792,73.792,73.824,72.768,73.120,73.792,72.800,74.784,72.832,73.824,72.768,73.824,80.960,93.184,79.968,78.720,72.992,79.072,74.720,73.888,74.784,76.800,77.216,75.008,73.088,72.960,73.792,73.760,73.760,73.760,72.864,73.024,73.824,73.728,73.760,73.216,73.856,73.632,72.832,73.600,73.696,76.928,73.792,74.848,73.728,73.024,72.864,73.696,72.992,74.880,73.632,73.824,73.824,72.992,72.800,73.024,72.864,72.640,73.824,73.792,73.792,75.808,72.960,73.792,74.592,74.816,73.216,73.824,73.792,72.832,72.672,72.992,73.248,73.600,73.088,77.792,78.912,74.848,72.992,94.912,74.464,76.832,96.160,73.600,99.680,75.904,98.336,157.152,73.120,73.184,79.104,74.368,76.960,74.624,74.816,73.824,73.024,74.848,76.192,93.920,73.088,80.000,72.896,73.728,73.824,72.928,73.792,73.792,73.824,73.824,73.088,72.768,73.696,72.832,74.848,73.248,72.864,75.776,73.728,72.960,73.728,73.728,74.496
wq_b	4	12288	1280	32	64	128	192	48	2	None	pass	73.632	71.808	78.880	0.9999958873	0.03125000	72.000,73.792,72.800,73.792,73.792,73.728,73.824,72.864,72.800,73.824,73.696,73.824,73.824,73.792,73.792,73.856,74.848,73.824,72.256,74.656,72.800,72.800,72.768,72.160,73.792,72.032,72.224,73.824,72.608,72.768,72.160,73.664,73.824,72.800,72.032,73.792,73.824,73.792,73.728,72.768,77.280,77.888,72.768,72.800,72.224,73.888,72.672,72.704,72.768,74.272,73.824,73.824,73.696,72.800,72.768,73.792,72.768,72.832,72.800,72.128,74.848,72.224,73.664,72.896,73.824,72.800,73.888,72.768,74.912,72.800,75.872,72.224,73.760,72.800,73.856,73.696,72.768,72.000,72.800,72.000,72.800,72.768,72.800,73.792,72.800,73.824,73.824,72.800,72.800,72.768,73.824,72.800,72.256,73.792,73.568,72.096,73.728,77.824,77.824,73.504,73.632,74.784,73.792,72.704,72.768,73.792,72.256,74.752,73.568,73.728,73.632,73.664,75.904,73.728,73.728,73.728,72.704,73.664,73.728,72.096,72.096,72.736,73.632,72.736,73.696,73.728,72.096,73.728,73.760,72.032,71.904,72.032,71.904,73.728,73.664,72.736,74.720,73.728,73.696,72.064,73.664,71.904,73.728,72.640,73.664,72.672,73.664,72.128,72.704,72.640,72.768,72.608,72.608,76.960,77.824,74.720,72.672,73.728,72.064,73.728,72.672,74.592,73.568,73.728,72.000,73.664,73.824,73.728,72.672,73.600,73.728,73.792,72.096,72.160,71.808,73.696,74.720,72.672,73.696,73.728,72.640,73.728,78.880,72.736,73.632,73.728,73.728,73.728,72.736,73.728,72.736,73.696,72.736,72.576,73.728,72.000,71.968,72.064,73.728,73.376
wq_b	4	12288	1280	32	128	128	96	48	1	None	pass	74.816	73.760	81.024	0.9999999404	0.00000000	74.816,74.112,75.808,73.856,74.112,75.712,74.752,74.752,75.904,74.752,74.816,75.904,74.624,74.848,74.080,74.208,75.936,74.848,74.144,73.888,75.776,74.816,79.104,79.104,75.840,74.208,76.160,75.872,75.840,74.720,74.880,74.848,73.952,74.304,75.872,75.840,74.720,75.872,75.872,75.744,75.872,74.080,74.720,74.176,74.240,74.176,74.752,74.816,73.824,74.752,73.920,74.816,74.720,75.808,74.848,74.848,74.848,74.816,75.968,76.704,75.776,75.040,75.776,74.784,74.208,73.824,73.920,73.856,74.240,76.896,74.240,73.952,75.616,74.880,73.824,74.848,74.752,75.904,79.200,79.872,73.984,75.872,74.240,74.752,75.904,74.752,74.848,74.144,73.888,74.144,74.848,74.208,74.720,74.752,74.048,74.752,75.776,74.656,75.776,73.760,74.720,76.864,75.776,74.048,74.624,76.864,74.816,74.880,75.648,74.816,75.872,76.128,74.816,74.112,74.848,75.104,74.176,75.840,74.656,75.872,74.880,75.904,74.848,75.872,74.208,74.848,74.208,74.816,74.048,75.872,74.848,74.240,74.080,74.848,73.856,74.848,74.848,74.272,73.952,74.240,74.848,74.208,74.816,74.816,75.840,74.848,74.016,75.840,74.240,75.872,73.888,76.896,74.816,81.024,79.968,75.776,75.872,74.048,75.840,75.744,74.816,75.872,74.752,74.816,75.776,74.720,73.888,74.048,74.816,73.920,75.872,73.856,75.712,74.848,74.880,74.016,75.872,75.840,74.272,75.808,75.872,76.864,74.784,74.048,74.848,74.880,74.144,73.984,74.880,75.168,74.848,75.296,74.880,75.872,75.584,74.784,75.776,74.784,74.784,76.576
wq_b	4	12288	1280	32	128	128	96	48	2	None	pass	74.752	73.632	82.912	0.9999958873	0.03125000	74.176,74.944,74.784,75.840,75.776,74.784,74.752,74.816,74.848,74.848,74.080,74.784,74.048,74.848,74.752,74.784,74.848,74.848,74.720,75.872,74.240,75.776,74.048,73.824,73.728,74.656,74.656,74.144,74.720,74.144,74.752,75.776,75.872,74.816,73.696,74.848,74.816,74.848,74.848,74.976,74.720,75.904,74.816,73.920,74.880,74.784,74.816,74.880,75.136,79.872,77.792,74.752,74.784,74.432,73.888,74.144,74.720,74.848,74.784,73.824,75.840,73.920,74.752,75.168,73.824,74.304,73.760,75.776,74.848,74.848,73.824,74.240,73.856,73.728,74.880,74.816,74.752,74.784,73.792,73.856,75.872,75.872,74.112,73.920,74.848,74.016,75.648,74.848,74.880,74.848,75.872,74.720,74.816,74.208,74.784,73.728,73.952,74.784,74.752,74.528,74.816,75.808,73.952,73.760,74.784,74.816,74.048,73.920,75.776,74.816,74.784,75.680,75.712,75.776,75.776,74.720,74.112,74.784,74.784,74.720,74.848,73.696,74.656,73.760,75.776,75.776,74.656,74.784,74.720,74.784,74.080,73.728,74.784,74.720,75.776,76.832,74.752,74.720,75.232,73.728,73.824,74.720,73.824,77.856,73.728,74.560,74.080,75.776,74.784,74.720,74.720,74.784,73.696,82.912,79.776,74.784,74.848,73.856,75.776,74.720,74.720,74.784,74.112,74.048,73.952,74.784,74.720,74.656,74.048,74.720,73.696,74.784,74.752,75.744,75.808,74.720,74.016,73.728,74.720,74.752,73.824,74.944,74.720,74.016,73.824,74.784,75.744,73.760,73.952,74.720,75.776,74.784,74.880,73.728,74.720,74.112,73.760,75.648,74.752,73.632
wq_b	4	12288	1280	64	64	128	192	48	1	None	pass	74.752	73.120	83.008	0.9999999404	0.00000000	74.784,73.728,75.712,74.784,73.152,73.792,73.760,74.752,74.752,74.752,74.624,73.792,74.688,74.144,75.872,74.720,73.920,74.848,73.856,74.848,73.728,73.760,75.840,74.720,74.816,74.784,73.696,74.848,73.824,73.632,75.776,73.920,74.016,73.728,78.944,79.776,74.848,74.880,74.848,75.776,74.752,75.872,73.664,73.824,74.784,74.848,74.848,74.848,73.792,74.176,74.816,73.856,74.816,77.024,73.728,74.688,73.856,74.816,73.760,76.896,74.720,74.720,74.176,74.784,76.864,75.840,73.664,74.848,73.632,74.688,74.880,74.816,76.864,75.872,75.744,73.792,74.848,73.824,73.856,74.816,74.752,74.016,74.880,74.720,74.848,74.848,73.696,74.848,73.632,74.816,78.880,80.896,74.848,74.752,74.048,73.728,74.784,73.888,74.688,74.528,73.760,73.696,75.776,73.344,73.888,74.752,74.784,74.752,74.752,74.720,74.272,73.856,74.752,73.984,73.824,74.880,74.816,74.880,73.984,73.728,74.816,74.880,73.728,74.848,74.816,73.984,74.048,75.872,73.792,74.624,74.816,74.848,73.728,73.792,73.984,74.816,73.760,74.848,74.848,74.784,73.920,73.952,74.880,74.784,73.856,74.880,74.784,74.016,74.880,74.048,74.848,74.880,73.824,74.752,83.008,79.968,75.776,73.856,73.824,75.776,74.176,73.760,74.848,76.832,74.816,74.816,73.760,75.808,73.824,74.880,73.760,73.920,73.888,74.848,74.848,74.848,74.848,74.240,74.304,74.048,74.784,74.816,74.944,80.992,73.920,74.688,73.792,74.816,73.120,73.824,74.816,74.848,73.920,73.824,73.760,74.784,73.856,73.728,74.784,73.504
wq_b	4	12288	1280	64	64	128	192	48	2	None	pass	73.728	72.128	257.792	0.9999958873	0.03125000	72.992,73.696,73.760,73.632,75.776,72.704,74.784,72.832,73.120,72.768,73.824,72.736,73.696,73.024,73.792,72.800,73.792,72.768,73.792,73.824,72.864,72.832,73.824,72.992,72.800,73.792,73.856,73.824,73.664,72.704,74.784,73.632,73.824,79.968,80.992,72.832,73.056,73.824,72.768,73.824,72.768,72.768,72.224,72.832,73.792,72.800,73.824,73.824,73.792,72.768,73.824,73.184,73.824,72.672,73.824,73.792,72.800,72.800,72.864,73.760,73.888,73.824,73.152,74.848,72.768,72.928,73.824,74.944,73.824,73.792,72.640,73.120,72.768,72.704,73.856,74.848,72.768,76.800,73.152,72.992,72.768,73.728,72.832,73.920,73.728,72.800,73.824,75.840,74.848,77.984,77.920,72.800,73.824,73.824,73.728,72.736,72.768,73.728,72.704,72.480,77.856,78.880,73.792,72.800,72.736,73.664,73.728,73.056,72.736,72.832,73.728,72.896,73.760,73.728,74.784,73.632,72.928,73.728,72.736,73.728,72.704,73.728,73.728,73.728,73.696,74.720,73.760,74.784,73.760,73.760,72.672,73.088,72.832,73.728,72.768,72.928,72.800,73.728,73.632,72.736,73.728,73.728,73.728,73.728,75.776,72.736,74.656,73.728,73.728,73.728,72.864,73.728,72.704,73.728,72.672,73.728,77.824,78.176,73.728,81.920,72.992,73.216,90.944,78.816,74.784,96.448,72.928,99.968,257.792,72.672,72.960,79.264,72.992,73.600,73.792,74.752,72.704,81.824,81.984,73.728,73.728,73.760,72.672,79.904,73.760,72.832,72.832,72.672,72.128,72.736,73.728,73.536,73.824,72.736,73.728,73.728,75.776,73.728,74.880,72.544
wq_b	4	12288	1280	64	128	128	96	48	1	None	pass	75.840	74.688	81.952	0.9999999404	0.00000000	76.064,75.840,75.808,74.688,74.752,76.896,75.776,76.704,76.064,75.872,75.840,75.744,74.816,74.848,75.872,75.808,76.064,75.904,75.072,74.912,75.072,74.720,74.816,75.040,76.832,75.744,75.008,75.872,74.720,75.904,75.872,74.976,74.816,74.912,75.136,75.776,76.704,75.872,74.848,76.864,74.688,75.744,81.024,80.032,75.808,75.744,75.872,75.840,74.752,75.872,75.840,74.752,81.024,75.872,75.840,74.720,76.864,74.816,74.816,75.232,74.912,74.976,75.872,75.168,75.872,75.872,75.904,75.872,75.744,74.944,75.840,75.872,75.872,75.872,75.872,75.872,74.816,75.872,75.040,75.872,75.872,74.752,75.072,75.872,75.904,76.320,75.872,74.976,75.712,75.904,74.784,75.872,74.880,75.872,75.808,75.808,74.784,75.776,80.192,81.696,76.000,74.944,74.784,81.952,79.968,75.680,75.104,75.904,75.136,75.360,74.848,75.776,74.880,74.848,75.104,75.808,75.872,75.872,74.944,76.928,75.840,75.776,75.872,75.008,74.880,77.056,75.840,75.872,75.296,74.976,75.776,75.872,75.872,75.840,74.912,74.848,74.912,75.744,75.168,75.072,76.928,75.872,75.264,75.840,74.880,75.840,75.840,74.816,76.864,75.840,75.872,75.840,74.880,75.744,75.872,74.848,75.008,75.168,74.848,80.992,80.992,75.264,75.904,75.904,75.872,75.840,75.296,75.872,75.872,74.848,74.752,75.072,74.880,75.840,75.872,75.840,75.072,75.840,76.832,75.872,75.008,75.872,75.840,75.904,75.872,75.776,77.920,75.904,74.816,75.072,75.904,75.872,76.928,75.840,76.000,75.808,75.776,75.776,76.832,74.752
wq_b	4	12288	1280	64	128	128	96	48	2	None	pass	75.712	73.952	81.152	0.9999958873	0.03125000	75.840,75.840,74.848,75.008,74.720,75.744,75.872,74.176,74.976,74.816,74.176,75.744,75.872,74.176,75.776,75.808,77.888,76.704,76.704,74.208,75.168,75.744,76.768,75.008,75.296,75.744,74.848,76.896,75.744,75.840,74.240,74.944,74.912,75.072,74.848,75.584,75.232,74.560,74.112,74.304,75.872,75.136,76.800,75.840,74.848,76.768,75.808,75.776,78.912,81.024,76.192,75.776,74.112,74.848,75.680,74.560,74.848,75.840,74.720,75.840,75.616,77.856,74.944,75.232,75.104,75.040,75.744,75.776,75.872,76.800,75.872,76.000,74.976,74.848,74.848,75.840,75.872,74.752,75.872,75.648,74.848,75.872,74.848,74.848,75.808,75.840,75.872,75.840,74.912,75.872,74.144,74.752,75.776,74.816,74.784,76.800,75.552,74.752,73.952,74.496,76.032,75.808,74.880,75.808,80.928,80.928,74.752,74.272,74.720,74.752,73.984,76.800,75.040,76.832,74.656,74.784,76.800,74.848,76.832,75.904,74.848,75.200,76.832,74.848,75.680,76.832,74.784,76.768,75.168,74.752,74.848,75.872,74.720,75.776,75.840,75.904,75.232,74.720,75.712,74.848,76.832,75.776,75.904,74.720,74.720,75.936,76.768,75.776,76.800,76.832,75.776,75.808,76.800,74.752,75.776,75.776,74.624,75.808,75.776,75.776,80.896,81.152,76.768,75.776,75.808,74.752,75.040,74.976,75.808,75.776,75.040,75.776,75.808,74.752,75.712,75.648,74.816,74.912,74.080,75.712,74.816,75.136,74.944,74.784,78.848,75.776,75.776,74.752,75.808,75.840,75.776,74.688,74.912,75.776,77.824,75.200,75.776,74.784,75.840,75.520
wq_b	4	12288	1280	128	64	128	192	48	1	None	pass	120.896	120.000	125.024	0.9999999404	0.00000000	120.896,120.864,120.896,120.800,120.896,120.864,120.896,120.896,120.896,120.832,120.928,120.832,120.928,120.928,120.832,120.896,120.928,120.832,120.928,120.928,120.832,120.928,120.896,120.800,120.896,120.928,120.928,120.832,120.896,120.896,120.864,120.896,120.896,120.896,120.896,120.928,120.928,120.832,120.928,120.832,120.960,120.768,120.896,120.960,120.864,120.928,120.928,120.928,120.896,120.928,120.832,120.928,120.896,120.896,120.928,120.928,120.896,120.928,120.928,120.864,120.928,120.800,120.928,120.928,120.896,120.928,120.896,120.832,120.928,120.960,120.864,120.736,120.896,120.928,120.896,120.832,120.800,120.928,120.896,120.832,120.928,120.864,125.024,120.800,120.864,120.256,120.896,120.928,120.960,120.928,120.864,120.896,120.896,120.928,120.832,120.832,120.896,120.800,120.832,120.608,120.896,120.768,120.896,122.880,120.928,120.928,120.992,120.704,120.896,120.928,120.800,120.928,120.896,120.768,120.928,120.832,120.800,120.928,120.832,120.832,120.928,120.736,120.832,120.928,120.768,120.960,120.960,120.800,120.768,120.928,120.800,120.800,120.896,120.800,120.928,120.928,120.768,120.928,120.928,120.800,120.928,120.928,120.000,120.928,120.928,120.960,120.928,120.928,120.928,120.928,120.928,120.896,120.992,120.864,120.896,120.896,120.896,120.832,120.928,120.928,120.928,120.896,120.864,120.928,121.024,120.928,120.832,120.832,120.960,120.864,120.896,120.928,120.704,120.896,120.960,120.992,120.896,120.832,120.928,120.928,120.928,120.832,120.704,120.928,120.928,120.160,120.928,120.864,120.896,120.992,120.928,120.192,120.864,120.896,120.832,120.800,120.832,120.768,120.864,120.608
