# gpu=NVIDIA GB10 sm_count=48 arch=sm_121a cutlass=4.6.2 warmup=20 iters=100 repeats=2 l2_flush_bytes=50331648 calibration=b12x-only graph_replay=1
shape	m	n	k	tile_m	tile_n	tile_k	work_tiles	sm_count	split_k_slices	large_m_unroll	status	median_us	min_us	max_us	cos	max_abs	samples_us
wqa_wkv	4	1792	5120	16	64	128	28	48	1	None	pass	46.080	45.088	91.520	1.0000001192	0.00000000	47.328,45.312,47.168,45.344,45.472,49.184,49.184,46.176,45.152,45.248,45.984,46.112,46.080,46.080,46.080,45.408,45.984,46.080,46.848,45.344,45.216,45.408,45.376,45.504,45.504,47.104,46.080,46.048,47.072,47.040,46.080,46.016,45.440,47.136,46.080,46.080,45.952,46.016,45.280,45.088,46.080,46.080,46.112,46.080,46.080,46.112,46.080,46.080,45.216,45.312,46.080,46.080,47.104,46.112,47.136,46.080,46.048,46.080,46.080,46.080,45.216,46.080,46.080,45.440,46.080,47.104,46.080,45.440,49.152,50.176,45.504,45.952,45.312,47.168,45.344,47.104,46.016,45.440,46.080,46.080,47.456,46.432,47.104,46.272,47.040,47.040,49.152,49.472,48.768,66.944,91.520,49.728,46.976,60.352,84.384,47.104,46.080,47.104,48.128,45.984,47.040,47.168,45.344,45.344,47.168,47.072,47.072,45.408,47.136,46.080,45.472,46.080,45.408,48.128,46.176,45.920,46.080,45.376,46.080,46.080,46.080,46.016,46.144,47.136,46.080,45.408,45.088,45.536,47.104,46.080,49.184,49.152,47.104,46.048,45.952,47.072,45.120,46.080,47.104,45.440,46.080,45.248,46.080,46.080,46.048,46.080,46.080,46.080,46.080,45.184,46.080,45.216,45.120,46.112,46.048,46.016,47.104,46.080,46.080,45.216,46.080,45.408,45.504,45.152,45.216,45.344,46.080,46.112,45.504,45.440,45.920,45.408,45.280,47.072,45.312,45.088,46.080,45.376,46.816,45.376,47.104,46.080,46.016,45.312,47.104,45.152,46.016,45.312,46.144,46.080,47.392,45.184,48.064,48.288,48.352,45.408,46.080,45.152,45.312,45.856
wqa_wkv	4	1792	5120	16	64	128	28	48	2	None	pass	47.104	45.920	51.264	0.9999958277	0.12500000	48.192,46.176,47.136,47.168,47.136,46.080,47.168,46.112,48.000,47.072,46.176,46.080,46.176,47.104,46.368,47.104,47.104,46.368,47.136,47.168,46.304,46.496,46.208,47.104,47.232,47.008,47.936,46.208,47.104,48.128,50.176,50.176,46.560,47.136,47.296,46.240,47.104,46.208,48.128,47.136,46.176,46.304,46.368,47.104,47.072,46.208,46.848,47.104,47.104,46.368,46.368,46.240,47.104,47.040,46.304,46.400,47.296,48.096,47.104,46.112,47.296,46.368,46.272,46.272,47.104,47.072,46.464,46.208,47.008,46.240,46.368,46.432,46.048,48.256,47.008,46.368,48.128,47.104,46.176,46.272,47.104,47.072,47.136,46.112,47.104,46.144,47.104,47.104,46.368,47.104,47.136,46.368,51.264,50.176,50.176,47.104,46.944,46.144,46.528,45.920,47.168,47.168,47.168,48.192,48.064,48.288,47.008,47.136,47.200,47.168,46.368,47.200,47.968,47.200,47.200,47.200,46.400,50.272,49.504,50.176,47.104,46.368,46.336,47.104,48.064,47.200,47.168,47.104,47.200,47.200,46.432,47.104,46.560,47.168,47.136,47.008,46.304,48.032,47.104,47.168,47.168,48.352,46.208,46.336,46.336,47.200,47.104,47.200,47.200,47.168,47.104,47.200,46.400,46.336,47.104,47.200,47.072,47.104,46.368,48.224,47.232,48.160,47.136,47.200,46.528,46.208,46.592,46.496,46.144,47.168,46.400,46.432,46.336,46.336,46.304,47.200,46.240,46.496,46.304,47.232,50.176,50.208,47.200,47.200,46.240,46.400,47.200,46.176,47.168,47.200,47.168,46.208,46.368,47.200,47.104,47.104,46.400,46.208,47.136,46.880
wqa_wkv	4	1792	5120	16	64	128	28	48	4	None	pass	47.104	45.952	51.168	0.9999936819	0.12500000	47.168,48.160,47.104,48.192,47.136,46.368,47.168,46.176,47.104,47.104,47.104,47.072,47.136,46.336,48.160,48.128,48.256,47.040,48.064,48.160,48.064,46.336,48.032,47.072,49.184,48.064,50.208,49.152,46.464,48.128,48.128,51.168,49.248,47.168,46.784,47.104,47.136,47.104,46.272,48.192,48.128,48.128,48.128,46.432,46.368,48.128,48.128,47.104,49.152,49.152,48.160,47.136,48.128,47.136,47.072,46.400,46.368,46.080,51.168,47.104,46.080,46.240,47.104,50.176,47.136,46.528,46.464,47.104,48.128,49.152,48.128,48.128,48.128,48.160,49.184,47.264,46.464,47.040,46.400,46.176,46.944,46.080,48.128,46.336,46.080,51.168,48.384,49.248,46.368,47.104,47.104,48.128,48.128,49.408,50.432,48.576,47.104,48.128,46.144,47.904,47.104,47.168,47.136,47.136,46.176,50.208,50.240,46.112,47.136,48.128,47.104,46.432,47.104,46.048,47.104,48.128,47.104,47.104,47.104,47.200,46.080,47.104,46.080,46.080,46.176,46.336,46.080,46.336,47.104,47.104,47.104,48.128,46.432,47.104,46.080,46.304,47.104,47.104,47.104,47.104,46.080,48.128,47.008,46.368,48.096,47.104,46.144,48.160,46.112,47.104,46.304,47.968,47.104,45.952,46.080,46.080,46.080,46.240,47.104,47.104,46.816,46.080,46.176,47.104,46.080,46.112,46.496,49.152,50.176,50.176,46.240,47.104,47.104,47.136,47.136,46.304,46.080,46.272,47.104,45.984,46.080,46.112,46.464,47.104,46.304,46.112,47.104,47.136,47.104,46.080,46.048,46.976,47.104,46.304,46.304,46.400,47.104,46.464,47.104,45.984
wqa_wkv	4	1792	5120	16	128	128	14	48	1	None	pass	47.072	45.312	55.296	1.0000001192	0.00000000	47.200,45.408,47.104,47.168,47.072,47.136,46.976,46.144,45.536,46.208,47.168,45.568,47.200,47.200,47.104,46.144,45.504,47.200,47.168,47.200,45.600,47.168,47.104,45.536,50.272,50.272,46.048,46.176,45.504,47.200,47.200,47.200,47.200,47.200,45.984,47.200,45.536,46.208,46.016,47.200,46.176,48.128,46.144,47.200,47.168,47.040,47.232,45.440,47.200,47.072,46.144,47.200,46.144,46.176,47.200,46.208,47.104,47.200,47.040,46.208,46.176,46.144,45.536,46.144,47.104,46.144,47.104,46.176,47.200,47.232,46.016,47.104,47.104,47.200,46.144,45.472,47.040,47.200,47.200,47.200,49.152,48.096,46.176,47.072,47.072,47.200,50.208,49.280,48.096,47.488,46.208,46.144,47.200,46.368,47.104,47.104,46.240,46.976,47.104,45.312,47.136,47.136,46.976,47.456,47.136,47.136,47.008,45.440,47.104,55.296,45.984,47.040,47.104,45.312,47.072,47.104,46.944,45.440,45.568,46.016,46.144,46.048,47.104,47.104,47.104,46.080,45.408,46.080,45.440,47.104,46.016,46.080,47.104,47.104,46.080,45.568,46.432,47.136,46.176,47.200,46.176,45.408,46.176,45.440,46.176,46.016,46.176,47.200,47.104,47.200,47.168,47.200,47.072,47.200,47.200,46.176,49.056,49.120,47.168,46.944,46.080,47.200,47.168,49.184,46.080,46.144,46.080,47.104,46.208,47.104,46.016,47.200,45.504,46.272,46.144,46.176,46.144,47.168,46.176,46.080,46.176,46.176,47.200,47.104,46.400,47.168,47.200,45.472,46.176,47.200,46.080,46.208,47.200,47.200,46.080,46.112,46.080,47.104,47.136,46.880
wqa_wkv	4	1792	5120	16	128	128	14	48	2	None	pass	48.128	46.496	51.328	0.9999958277	0.12500000	47.200,47.200,47.008,48.192,48.128,48.128,48.064,47.136,47.904,48.128,51.296,51.328,48.224,47.200,48.128,47.200,48.192,47.904,47.104,50.176,48.160,47.936,48.224,48.128,48.128,48.192,47.168,48.128,47.168,48.192,48.224,48.224,47.168,48.224,48.224,50.272,48.256,47.200,50.272,48.224,46.624,48.192,48.224,47.200,48.224,48.224,48.128,48.224,48.192,48.224,47.200,47.200,47.040,48.256,46.592,48.224,48.192,48.128,47.168,48.288,48.224,48.224,48.224,48.256,48.256,48.192,47.232,48.224,48.224,47.232,48.224,47.200,49.280,51.296,50.272,48.192,46.560,48.224,46.560,48.224,50.240,48.224,48.224,48.224,48.224,47.136,48.192,48.128,47.200,48.192,48.224,48.224,48.224,48.192,48.128,46.496,46.528,47.104,48.000,46.880,48.192,48.160,47.136,47.136,47.104,48.032,47.104,48.128,46.624,48.224,47.104,47.168,48.224,48.224,48.032,46.592,47.104,48.224,47.104,48.192,47.200,48.192,48.128,48.224,47.936,47.104,48.000,48.224,48.224,48.128,47.168,48.224,48.192,47.104,47.424,48.128,48.192,48.128,48.192,47.200,47.168,48.096,48.128,48.224,48.256,50.272,50.208,48.224,47.104,47.200,47.200,47.200,50.176,48.224,48.160,48.160,47.072,48.192,47.168,47.104,48.224,47.200,48.128,47.104,48.224,47.168,47.200,47.072,47.200,48.160,48.224,48.160,47.200,48.224,47.104,47.104,47.232,47.200,48.128,47.296,48.224,48.320,48.128,48.224,48.192,48.224,48.160,47.200,48.192,48.160,48.256,48.192,48.192,47.104,47.104,47.104,47.936,48.128,48.096,47.904
wqa_wkv	4	1792	5120	16	128	128	14	48	4	None	pass	48.128	46.336	51.296	0.9999935031	0.12500000	50.496,47.136,47.168,47.456,46.336,47.072,47.168,48.224,48.096,47.200,47.168,48.000,48.160,48.256,48.256,48.096,51.296,51.296,51.296,48.128,48.256,48.224,47.200,49.120,48.224,48.256,47.328,47.424,48.192,48.224,48.096,48.224,48.288,48.224,47.168,48.224,48.192,48.192,48.096,48.224,48.256,48.128,49.024,48.224,48.096,47.040,48.224,48.224,48.224,47.072,48.192,48.224,48.256,47.136,46.624,48.256,47.552,48.128,48.192,48.224,47.040,48.224,47.584,48.224,48.224,47.552,47.200,48.224,48.224,47.136,47.200,48.192,48.224,48.224,48.192,48.192,48.224,48.192,47.456,51.200,51.008,48.224,48.192,48.224,48.224,48.224,48.224,47.136,49.216,47.328,48.256,48.128,48.224,47.264,48.128,48.128,48.128,48.128,48.160,48.928,47.968,47.200,48.192,47.360,47.168,47.168,48.192,48.128,47.136,47.136,47.296,48.128,47.392,48.128,49.056,48.416,48.128,47.008,48.128,47.104,48.128,48.128,48.128,48.160,48.064,47.104,49.056,46.528,47.104,48.128,48.096,47.104,48.128,47.104,50.144,51.200,48.128,48.096,47.104,48.064,48.128,48.992,48.064,47.008,48.096,47.072,48.160,47.360,48.096,47.040,47.104,48.128,48.096,48.160,47.008,48.128,48.096,48.128,48.000,46.912,48.128,47.072,47.104,48.128,48.096,48.128,48.128,48.000,48.128,47.968,48.128,48.128,46.976,48.128,48.128,48.128,47.264,48.128,48.096,47.296,48.128,48.128,48.064,48.064,47.104,48.160,48.128,48.160,47.104,48.128,48.128,46.496,48.128,47.104,47.104,48.128,48.352,50.144,49.536,47.904
wqa_wkv	4	1792	5120	32	64	128	28	48	1	None	pass	46.176	45.184	50.208	1.0000001192	0.00000000	47.328,45.312,45.472,45.344,47.136,45.440,47.136,47.104,47.008,46.176,47.200,45.952,46.112,46.208,46.144,46.048,48.256,45.536,46.144,47.072,47.168,47.200,45.568,46.080,47.168,47.168,46.144,45.440,45.568,47.168,47.296,47.104,47.232,47.072,45.344,47.680,48.448,49.248,45.184,45.472,47.168,45.408,47.072,46.112,46.176,46.080,45.344,47.168,46.208,47.040,45.472,45.504,45.408,47.072,45.536,46.016,46.048,45.440,45.568,47.232,45.472,45.856,45.504,46.176,47.072,46.240,46.176,46.176,46.880,46.080,47.136,46.176,47.104,46.144,47.104,46.208,47.168,45.632,46.944,46.176,47.168,46.176,46.080,45.568,46.144,47.168,47.072,45.184,47.200,47.200,46.144,47.200,46.176,46.144,47.168,46.080,46.048,45.984,49.152,48.096,45.504,47.104,46.976,47.104,49.056,45.408,49.152,47.072,47.104,47.072,46.176,45.600,47.200,45.376,47.264,45.504,47.168,47.104,46.176,45.568,47.200,47.072,47.168,46.176,47.072,49.088,50.208,46.112,46.912,46.176,45.312,46.176,47.072,46.144,45.504,46.048,45.280,46.176,47.200,47.072,45.568,45.568,46.208,45.248,46.048,46.144,45.184,47.136,46.080,45.408,46.048,46.176,46.240,46.176,46.176,46.080,46.016,46.176,46.176,47.136,47.200,47.168,45.568,47.200,47.456,46.176,47.200,45.408,45.504,45.408,46.176,46.144,46.176,46.176,47.104,45.536,47.008,47.168,47.136,47.232,47.200,47.200,46.144,47.200,46.144,47.200,47.200,47.104,49.216,48.352,47.200,47.200,47.200,46.176,46.080,46.112,45.440,45.440,46.080,45.856
wqa_wkv	4	1792	5120	32	64	128	28	48	2	None	pass	48.224	47.104	59.296	0.9999958277	0.12500000	47.456,49.216,49.184,47.296,47.328,48.160,48.192,49.088,49.152,47.360,48.192,49.152,48.192,49.248,47.168,49.056,48.224,49.248,48.256,47.104,48.224,48.128,47.520,47.456,48.224,49.248,48.128,48.224,48.160,49.312,52.224,51.328,49.120,48.224,49.152,48.192,48.224,48.224,48.992,48.224,48.128,48.128,49.248,49.216,48.224,48.160,49.280,49.248,49.216,47.360,48.224,48.192,49.248,48.320,49.152,49.216,48.224,49.216,48.192,49.248,48.256,49.088,48.192,49.248,48.192,48.128,48.224,50.144,48.192,48.224,48.224,49.152,48.224,49.280,48.192,49.120,49.248,47.456,48.192,48.224,49.248,49.248,48.256,48.192,49.248,49.120,48.128,48.224,49.248,48.224,48.128,49.216,49.184,51.296,50.400,48.128,48.160,48.128,49.152,47.904,48.128,49.184,49.248,49.184,48.128,49.152,49.184,48.960,48.160,49.152,49.248,50.176,48.128,48.224,49.184,51.200,51.200,48.192,48.128,49.152,48.128,48.192,49.152,48.160,48.128,49.152,48.128,48.128,48.128,48.160,48.128,48.128,48.160,48.128,48.128,48.160,49.152,48.128,48.160,49.152,48.128,48.992,48.160,48.128,49.152,49.152,47.264,49.152,48.128,48.192,48.128,48.128,49.152,49.152,49.152,48.128,48.128,47.136,49.152,48.160,49.184,48.128,48.288,48.032,48.160,49.152,48.128,48.128,47.392,48.128,49.152,48.096,47.552,48.256,48.128,48.096,59.296,52.224,51.200,48.128,48.128,48.128,48.128,48.160,48.128,48.128,49.152,48.128,48.128,49.440,48.128,48.128,48.064,49.152,48.128,49.088,48.128,48.128,47.392,47.904
wqa_wkv	4	1792	5120	32	64	128	28	48	4	None	pass	46.352	45.440	90.016	0.9999933243	0.12500000	46.208,46.112,46.144,45.440,47.136,46.112,46.944,46.016,47.008,46.144,46.144,46.176,46.144,47.168,46.176,46.176,47.200,47.136,46.176,47.200,47.200,47.136,46.144,46.080,47.200,47.168,46.144,46.240,46.176,47.200,50.272,49.248,46.080,47.200,46.240,46.304,47.136,46.176,46.048,46.176,47.232,47.200,46.080,47.200,46.208,46.144,47.072,47.104,46.144,48.224,47.200,46.240,46.208,46.144,47.232,47.232,46.112,46.176,46.176,46.176,47.168,46.080,46.080,46.528,47.200,46.176,47.200,47.200,46.176,46.144,46.176,46.176,90.016,60.416,47.104,50.432,46.528,53.664,50.272,50.496,46.592,47.136,47.424,47.232,47.200,52.768,51.360,48.512,46.080,46.176,49.248,50.112,49.248,61.760,51.680,47.008,46.080,46.080,46.112,45.856,46.112,46.080,45.888,46.240,49.280,49.184,47.200,46.112,45.504,47.200,46.176,47.072,46.144,47.072,46.080,46.080,47.200,46.208,46.048,46.176,46.144,46.080,46.048,47.104,47.136,46.144,47.072,47.200,47.200,47.264,46.048,47.168,46.176,46.048,46.080,46.176,46.176,47.072,45.952,47.168,47.232,47.072,46.240,46.176,46.176,47.072,46.176,47.200,46.176,46.976,46.144,46.176,47.104,46.432,46.176,46.176,47.072,46.112,47.200,47.200,46.208,47.232,46.176,46.400,47.232,46.272,50.176,49.248,47.616,47.200,47.200,46.144,47.168,47.200,46.176,47.136,47.200,46.144,46.176,49.248,46.144,47.200,47.552,47.200,46.208,46.144,46.176,46.176,47.232,46.176,46.176,47.136,46.176,46.176,47.104,47.104,45.472,46.080,47.104,46.880
wqa_wkv	4	1792	5120	32	128	128	14	48	1	None	pass	47.072	45.408	53.344	1.0000001192	0.00000000	47.104,47.136,47.168,47.136,47.136,47.136,47.200,47.104,47.104,47.072,47.168,46.496,47.168,47.072,47.200,47.168,49.248,47.072,49.376,49.248,49.184,47.104,47.168,46.208,47.072,46.176,46.176,47.200,47.072,46.176,45.984,46.144,47.072,47.200,47.200,46.304,47.136,47.488,47.200,47.040,47.200,46.272,47.168,47.072,46.496,46.336,47.200,47.040,47.200,47.200,46.016,47.104,46.304,47.168,46.080,47.136,46.112,46.176,46.176,46.240,46.176,47.200,46.176,47.200,53.344,47.200,47.168,46.080,47.168,47.200,47.200,47.200,47.200,47.232,46.176,47.168,49.248,47.200,46.112,46.240,46.144,50.176,49.152,47.200,46.144,45.920,46.144,47.168,47.200,47.104,46.144,47.072,47.200,47.104,46.080,46.080,47.104,47.168,45.504,46.112,47.104,47.136,47.072,47.168,47.104,47.104,47.104,47.072,46.176,47.072,46.080,46.432,48.128,47.072,46.112,46.080,46.944,47.072,46.080,47.104,46.080,47.008,46.080,47.104,47.104,47.008,46.112,46.048,47.072,46.240,46.080,48.128,46.976,47.104,47.104,46.080,47.072,46.080,47.104,46.080,47.136,46.080,46.016,47.072,46.080,46.048,47.168,47.072,47.104,46.176,46.400,47.072,47.104,46.080,49.152,49.088,47.104,47.104,47.072,47.104,45.984,46.080,47.072,46.112,47.104,45.920,45.408,47.104,47.104,47.104,47.072,46.112,46.080,47.072,47.104,47.136,46.080,47.072,46.080,47.104,47.104,49.120,47.168,47.104,46.112,46.080,46.080,47.104,46.976,47.072,47.104,47.104,46.048,47.104,46.112,47.104,47.104,46.368,47.104,45.792
