-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us        1.659s       130.23%        1.659s      43.669ms            38  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     497.619ms        39.05%     497.619ms     248.809ms             2  
kernel_cutlass_kernel_b12xmoe_sharedkernelssiluMoEDy...         0.00%       0.000us         0.00%       0.000us       0.000us     386.335ms        30.32%     386.335ms     449.226us           860  
kernel_cutlass_kernel_b12xcommroce_oneshot_cute_Roce...         0.00%       0.000us         0.00%       0.000us       0.000us     249.203ms        19.56%     249.203ms     138.446us          1800  
                                       vllm::all_reduce         0.40%       5.258ms         0.46%       6.124ms      73.782us     183.389ms        14.39%     183.389ms       2.210ms            83  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      70.757ms         5.55%      70.757ms       1.769ms            40  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      64.117ms         5.03%      64.117ms      78.192us           820  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      63.392ms         4.97%      63.392ms      65.218us           972  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      50.194ms         3.94%      50.194ms      61.213us           820  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      45.451ms         3.57%      45.451ms      55.427us           820  
                            b12x::tp_moe_dynamic_launch         4.25%      56.508ms         4.34%      57.697ms       1.442ms      38.944ms         3.06%      39.275ms     981.879us            40  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      38.300ms         3.01%      38.300ms      41.631us           920  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      37.738ms         2.96%      37.738ms      46.022us           820  
                                               aten::mm         0.09%       1.178ms         0.10%       1.367ms      42.727us      35.264ms         2.77%      35.264ms       1.102ms            32  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      28.091ms         2.20%      28.091ms     702.266us            40  
                                            _row_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.302ms         2.14%      27.302ms     447.579us            61  
